Week	Date	Opponent	Result	Attendance
1	September 11, 1966	at Buffalo Bills	W 42–20	42,023
2	September 18, 1966	at Oakland Raiders	W 32-10	50,746
3	September 25, 1966	at Boston Patriots	W 43-24	22,641
4	October 2, 1966	Buffalo Bills	L 29-14	43,885
5	October 8, 1966	Denver Broncos	W 37-10	33,929
6	October 16, 1966	Oakland Raiders	L 34–13	33,057
7	October 23, 1966	at Denver Broncos	W 56–10	26,196
8	October 30, 1966	Houston Oilers	W 48–23	31,676
9	November 6, 1966	San Diego Chargers	W 24–14	40,986
10	November 13, 1966	Miami Dolphins	W 34-16	34,063
11	November 20, 1966	Boston Patriots	T 27-27	41,475
12	November 27, 1966	at New York Jets	W 32-24	60,318
13	Bye	Bye	Bye	Bye
14	December 11, 1966	at Miami Dolphins	W 19–18	17,881
15	December 18, 1966	at San Diego Chargers	W 27–17	28,348
