Driver	Car #	Make	Points	Laps	Winnings
Jimmie Johnson	48	Chevrolet	185	188	$326,061
Tony Stewart	20	Chevrolet	175	188	$260,136
Brian Vickers	25	Chevrolet	170	188	$172,300
Jeff Burton	31	Chevrolet	160	188	$176,745
Jamie McMurray	26	Ford	160	188	$168,600
Matt Kenseth	17	Ford	155	188	$159,841
Kurt Busch	2	Dodge	151	188	$143,233
Carl Edwards	99	Ford	147	188	$118,975
Scott Riggs	10	Dodge	138	188	$97,975
Robby Gordon	7	Chevrolet	139	188	$103,350
J.J. Yeley *	18	Chevrolet	135	188	$131,075
Dale Jarrett	88	Ford	132	188	$125,875
Jeremy Mayfield	19	Dodge	129	188	$124,816
Jeff Green	66	Chevrolet	126	188	$117,808
Jeff Gordon	24	Chevrolet	128	188	$151,311
Elliott Sadler	38	Ford	120	188	$138,983
Tony Raines	96	Chevrolet	112	188	$84,675
Kyle Petty	45	Dodge	109	188	$111,883
Travis Kvapil	32	Chevrolet	106	188	$101,083
Casey Mears	42	Dodge	108	188	$123,083
Scott Wimmer	4	Chevrolet	105	188	$85,350
Denny Hamlin *	11	Chevrolet	102	187	$84,625
Kevin Harvick	29	Chevrolet	94	187	$121,811
Dave Blaney	22	Dodge	96	183	$94,858
Michael Waltrip	55	Dodge	93	179	$92,447
Reed Sorenson *	41	Dodge	85	177	$89,825
Joe Nemechek	1	Chevrolet	87	173	$107,620
Kevin Lepage	61	Ford	84	173	$80,225
Bobby Labonte	43	Dodge	76	163	$114,461
Chad Chaffin	34	Chevrolet	73	152	$77,825
Dale Earnhardt Jr.	8	Chevrolet	75	151	$112,166
Kyle Busch	5	Chevrolet	67	150	$95,025
Ryan Newman	12	Dodge	64	106	$122,308
David Stremme *	40	Dodge	61	106	$85,725
Mark Martin	6	Ford	58	101	$94,650
Martin Truex Jr. *	1	Chevrolet	55	97	$84,500
Sterling Marlin	14	Chevrolet	52	91	$76,325
Greg Biffle	16	Ford	49	45	$96,175
Kasey Kahne	9	Dodge	46	17	$112,989
Clint Bowyer *	7	Chevrolet	43	16	$83,525
Kirk Shelmerdine	27	Chevrolet	40	9	$75,325
Ken Schrader	21	Ford	37	8	$102,364
Hermie Sadler	0	Ford	PE	8	$75,308
