Colt model no.	Name	Stock	Fire control	Rear sight	Forward assist	Case deflector	Barrel length	Barrel profile	Barrel twist	Hand guards	Bayonet Lug	Muzzle device
601	AR-15	A1	S-1-F	A1	No	No	20 in.	A1	1:14 (early) or 1:12 (late)	Triangular	Yes	Type 1 Duckbill/Type 2 Duckbill
602	AR-15	A1	S-1-F	A1	No	No	20 in.	A1	1:12	Triangular	Yes	Type 2 Duckbill
603	XM16E1	A1	S-1-F	A1	Yes	No	20 in.	A1	1:12	Triangular	Yes	Type 2 Duckbill
603	M16A1	A1	S-1-F	A1	Yes	No	20 in.	A1	1:12	Triangular	Yes	A1
604	M16 (No XM16 designation)	A1	S-1-F	A1	No	No	20 in.	A1	1:12	Triangular	Yes	A1
605	CAR-15 Carbine	A1	S-1-F	A1	No	No	15 in.	A1	1:12	Triangular	No	Type 2 Duckbill
605A	CAR-15 Carbine	A1	S-1-F	A1	Yes	No	15 in.	A1	1:12	Triangular	No	Type 2 Duckbill
605B	CAR-15 Carbine	A1	S-F-1-3	A1	No	No	15 in.	A1	1:12	Triangular	No	Type 2 Duckbill
606	CAR-15 Heavy Assault Rifle M1	A1	S-1-F	A1	No	No	20 in.	HBAR	1:12	Triangular	Yes	Type 2 Duckbill
606A	CAR-15 Heavy Assault Rifle M1	A1	S-1-F	A1	Yes	No	20 in.	HBAR	1:12	Triangular	Yes	Type 2 Duckbill
606B	CAR-15 Heavy Assault Rifle M1	A1	S-F-1-3	A1	Yes	No	20 in.	HBAR	1:12	Triangular	Yes	Type 2 Duckbill
607	CAR-15 SMG	1st Generation	S-1-F	A1	No	No	10 in.	A1	1:12	Short Triangular	No	Type 1 and 2 Duckbill and 3.5" Moderator
607A	CAR-15 SMG	1st Generation	S-1-F	A1	Yes	No	10 in.	A1	1:12	Short Triangular	No	Type 1 and 2 Duckbill and 3.5" Moderator
607B	CAR-15 SMG	1st Generation	S-F-1-3	A1	No	No	10 in.	A1	1:12	Short Triangular	No	Type 1 and 2 Duckbill and 3.5" Moderator
608	CAR-15 Survival Rifle	Tubular	S-1-F	A1	No	No	10 in.	A1	1:12	Short Round	No	Conical or 3.5" Moderator
609	XM177E1	2nd Generation	S-1-F	A1	Yes	No	10 in.	A1	1:12	Short Ribbed	No	3.5" or 4.5" Moderator
610	XM177 or GAU-5/A	2nd Generation	S-1-F	A1	No	No	10 in.	A1	1:12	Short Ribbed	No	3.5" or 4.5" Moderator
610B	CAR-15 SMG	2nd Generation	S-F-1-3	A1	No	No	10 in.	A1	1:12	Short Ribbed	No	3.5" or 4.5" Moderator
611	M16 HBAR	A1	S-1-F	A1	Yes	No	20 in.	HBAR	1:12	Triangular	Yes	A1
611P	M16 HBAR (License produced by Elisco Tools)	A1	S-1-F	A1	Yes	No	20 in.	HBAR	1:12	Triangular	Yes	A1
