Outcome	No.	Date	Championship	Surface	Opponent in the final	Score in the final
Winner	34.	January 8, 2006	Doha, Qatar (2)	Hard	Gaël Monfils	6–3, 7–6 (7–5)
Winner	35.	January 29, 2006	Australian Open, Melbourne, Australia (2)	Hard	Marcos Baghdatis	5–7, 7–5, 6–0, 6–2
Runner-up	10.	March 5, 2006	Dubai, United Arab Emirates	Hard	Rafael Nadal	6–2, 4–6, 4–6
Winner	36.	March 19, 2006	Indian Wells, United States (3)	Hard	James Blake	7–5, 6–3, 6–0
Runner-up	12.	May 14, 2006	Rome, Italy (2)	Clay	Rafael Nadal	7–6 (7–0) , 6–7 (5–7) , 4–6, 6–2, 6–7 (5–7)
Runner-up	13.	June 11, 2006	French Open , Paris, France	Clay	Rafael Nadal	6–1, 1–6, 4–6, 6–7 (4–7)
Winner	38.	June 18, 2006	Halle, Germany (4)	Grass	Tomáš Berdych	6–0, 6–7 (4–7) , 6–2
Winner	39.	July 9, 2006	Wimbledon, London, England, UK (4)	Grass	Rafael Nadal	6–0, 7–6 (7–5) , 6–7 (2–7) , 6–3
Winner	41.	September 10, 2006	US Open, New York City, United States (3)	Hard	Andy Roddick	6–2, 4–6, 7–5, 6–1
Winner	42.	October 8, 2006	Tokyo , Japan	Hard	Tim Henman	6–3, 6–3
Winner	43.	October 22, 2006	Madrid , Spain	Hard (i)	Fernando González	7–5, 6–1, 6–0
Winner	44.	October 29, 2006	Basel, Switzerland	Carpet (i)	Fernando González	6–3, 6–2, 7–6 (7–3)
