Kick Off	Opponents	H / A	Result	Referee	Report
1992-09-06 19:00	Mallorca	H	2 – 2	Bueno Grimal	MR
1992-09-13 19:00	Lugo	A	0 – 0	Sánchez Regidor	MR
1992-09-20 19:00	Bilbao Athletic	H	1 – 0	Barrenechea Montero	MR
1992-09-26 21:00	Valladolid	A	1 – 0	Beguiristain Iceta	MR
1992-10-04 17:00	Palamós	H	3 – 0	Hernández Velázquez	MR
1992-10-10 20:00	Barcelona B	A	1 – 1	Alemán Martín	MR
1992-10-18 17:00	Villarreal	H	1 – 0	Andradas Asurmendi	MR
1992-10-25 17:00	Mérida	A	2 – 0	Japón Sevilla	MR
1992-10-31 16:00	Real Madrid B	A	1 – 0	Nevado González	MR
1992-11-08 17:00	Eibar	H	3 – 1	Daudén Ibáñez	MR
1992-11-22 17:00	Betis	A	0 – 0	Carmona Méndez	MR
1992-11-29 17:00	Racing	H	3 – 0	Yuste González	MR
1992-12-06 17:00	Marbella	A	1 – 1	Hernández Pérez	MR
1992-12-13 17:00	Figueres	H	1 – 1	Contador Crespo	MR
1992-12-19 18:45	Sabadell	A	0 – 2	Quiralte Simón	MR
1993-01-02 18:15	Castellón	H	2 – 1	Esteban Díaz	MR
1993-01-10 17:00	Badajoz	A	2 – 1	Panadero Martínez	MR
1993-01-17 17:00	Compostela	H	1 – 0	Beguiristain Iceta	MR
1993-01-24 17:00	Sestao	A	2 – 2	García Prieto	MR
1993-01-30 18:00	Mallorca	A	2 – 0	Navarrete Reyes	MR
1993-02-06 18:15	Lugo	H	4 – 0	Nevado González	MR
1993-02-14 17:00	Bilbao Athletic	A	0 – 0	Yuste González	MR
1993-02-21 17:00	Valladolid	H	1 – 2	Miró Pastor	MR
1993-02-27 18:15	Palamós	A	0 – 0	Quiralte Simón	MR
1993-03-06 18:15	Barcelona B	H	1 – 0	Hernández Velázquez	MR
1993-03-13 17:30	Villarreal	A	4 – 2	Caetano Bueno	MR
1993-03-21 17:00	Mérida	H	1 – 1	Pérez Gallego	MR
1993-04-04 17:00	Real Madrid B	H	0 – 2	Andradas Asurmendi	MR
1993-04-11 17:00	Eibar	A	0 – 1	Contador Crespo	MR
1993-04-18 17:00	Betis	H	1 – 0	Beguiristain Iceta	MR
1993-05-01 18:00	Racing	A	2 – 0	Sánchez Calvo	MR
1993-05-09 19:00	Marbella	H	1 – 0	Bueno Grimal	MR
1993-05-15 18:15	Figueres	A	0 – 0	Japón Sevilla	MR
1993-05-22 18:15	Sabadell	H	3 – 0	Panadero Martínez	MR
1993-05-29 18:00	Castellón	A	2 – 0	Caetano Bueno	MR
1993-06-05 18:00	Badajoz	H	3 – 0	Martínez de la Fuente	MR
1993-06-12 18:00	Compostela	A	3 – 0	Nevado González	MR
1993-06-19 19:00	Sestao	H	1 – 0	Bueno Grimal	MR
