Game	Date	Opponent	Result	Stadium	Record	Channel	Attendance
1	September 9, 2001	at San Diego Chargers	L 30-3	Qualcomm Stadium	0-1	FOX 4:15pm	60,629
2	September 24, 2001	at Green Bay Packers	L 37-0	Lambeau Field	0-2	ABC 9:00pm	59,771
3	September 30, 2001	Kansas City Chiefs	L 45-14	FedEx Field	0-3	CBS 1:00pm	76,573
4	October 7, 2001	at New York Giants	L 23-9	Giants Stadium	0-4	FOX 1:00pm	78,651
5	October 15, 2001	at Dallas Cowboys	L 9-7	Texas Stadium	0-5	ABC 9:00pm	63,941
6	October 21, 2001	Carolina Panthers	W 17-14	FedEx Field	1-5	FOX 1:00pm	74,480
7	October 28, 2001	New York Giants	W 35-21	FedEx Field	2-5	FOX 4:15pm	80,316
8	November 4, 2001	Seattle Seahawks	W 27-14	FedEx Field	3-5	CBS 4:15pm	82,352
9	Bye	Bye	Bye	Bye	Bye	Bye	Bye
10	November 18, 2001	at Denver Broncos	W 17-10	Invesco Field at Mile High	4-5	FOX 4:15pm	74,622
11	November 25, 2001	at Philadelphia Eagles	W 13-3	Veterans Stadium	5-5	FOX 1:00pm	65,666
12	December 2, 2001	Dallas Cowboys	L 20-14	FedEx Field	5-6	FOX 4:15pm	85,112
13	December 9, 2001	at Arizona Cardinals	W 20-10	Sun Devil Stadium	6-6	FOX 4:05pm	40,052
14	December 16, 2001	Philadelphia Eagles	L 20-6	FedEx Field	6-7	FOX 4:15pm	84,936
15	December 23, 2001	Chicago Bears	L 20-15	FedEx Field	6-8	FOX 1:00pm	78,884
16	December 30, 2001	at New Orleans Saints	W 40-10	Louisiana Superdome	7-8	ESPN 8:30pm	70,020
17	January 6, 2002	Arizona Cardinals	W 20-17	FedEx Field	8-8	FOX 1:00pm	61,721
