Date	"Inventor"	Marketed as	Mutated From	Assignee	Habit	Pattern	Earlier	Color	Plant Patent Number
Aug 29, 1989	Hiraragi	Yataka	Fuji	Makoto Okada	standard	stripe	1 Month	–	US plant patent 7001
Oct 6, 1992	Yahagi	Heisei Fuji, Beni Shogun 9645	Yataka 7001	Nakajima Tenkoen	standard	solid	no	dark red	US plant patent 7997
Nov 17, 1992	Cooper	T.A.C.#114	Redsport Type 2	T.A.C.	spur	stripe	10–14 days	more brilliant red, 80—90%	US plant patent 8032
Sep 26, 1995	Fukuda	Tensei	Fuji	Fukushima Tenkoen	standard, larger	stripe	no	same	US plant patent 9298
Apr 16, 1996	Lynd	Fuji-Spike	Fuji	Lynd	spur	stripe	0–5 days	same	US plant patent 9508
Sep 24, 1996	Van Leuven	Myra	unknown red strain	C & O	standard	blush w/ subtle stripe	1 week	bright pink	US plant patent 9645
Dec 9, 1997	Auvil	Fuji 216	T.A.C.#114 8032	Auvil	standard	blush	5–21 days	brighter red, 90—100%	US plant patent 10141
Mar 24, 1998	Coopr & Perkins	Fuji Compact T.A.C. #114	T.A.C.#114 8032	T.A.C.	spur	same	same	same	US plant patent 10291
Jan 25, 2000	Van Leuven	Fiero	Yataka 7001	C & O	standard	indistinct stripe	7–10 days	more intense blush	US plant patent 11193
Sep 18, 2001	Snyder	Snyder	BC 2	Snyder	semi-spur	heavy stripe	same	same	US plant patent 12098
Nov 27, 2001	Torres	Triple E	BC 2	–	standard	85—100% blush	10–14 days	solid red	US plant patent 12219
Apr 16, 2002	Rankin	Rankin Red	Yakata 7001	Twin Springs Fruit Farm	standard	70—90% blush	5 days	more intense	US plant patent 12551
Nov. 11, 2003	Teague	Irene	BC 2	–	standard	solid	60 days	yellow	US plant patent 14299
Oct 26, 2004	Braun	Brak	Fuji	Kiku	standard	striped	earlier	ruby red	US plant patent 15261
Feb 21, 2006	Clevenger	Fugachee	Fuji	–	standard	70—90% blush	14 days before Fiero	–	US plant patent 16270
Jun 6, 2006	Banning	Banning Red	Desert Rose Fuji	Banning	standard	stripe	–	redder	US plant patent 16624
Aug 14, 2007	Lee, Edwards, Delugar	CABp	Nagafu 6	CABp 4	standard	stripe	–	"superior"	US plant patent 17914
Sep 11, 2007	Eppich	Eppich 2	T.A.C. #114 8032	–	standard	blush with light stripe	unclear	yellow and red	US plant patent 18004
Apr 29, 2008	Braun	Fuji Fubrax	Fuji	Kiku SRL	standard	dark ruby red stripes and blush	late	green-yellow	US plant patent 18761
Jul 29, 2008	Leis, Mazzola	Fujiko	Nagafu 12	Consorzio Italiano Vivaisti	standard	diffused	–	more intense red	US plant patent 19054
