Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	16–9	Josh Thomson	TKO (head kick and punches)	UFC on Fox: Henderson vs. Melendez	2	3:44	San Jose, California , United States
Loss	16–8	Benson Henderson	Decision (unanimous)	UFC on Fox: Henderson vs. Diaz	5	5:00	Seattle, Washington, United States
Win	16–7	Jim Miller	Submission (guillotine choke)	UFC on Fox: Diaz vs. Miller	2	4:09	East Rutherford, New Jersey , United States
Win	15–7	Donald Cerrone	Decision (unanimous)	UFC 141	3	5:00	Las Vegas, Nevada, United States
Win	14–7	Takanori Gomi	Submission (armbar)	UFC 135	1	4:27	Denver, Colorado , United States
Loss	13–7	Rory MacDonald	Decision (unanimous)	UFC 129	3	5:00	Toronto, Ontario , Canada
Loss	13–6	Kim Dong-Hyun	Decision (unanimous)	UFC 125	3	5:00	Las Vegas, Nevada, United States
Win	13–5	Marcus Davis	Technical submission (guillotine choke)	UFC 118	3	4:02	Boston, Massachusetts, United States
Win	12–5	Rory Markham	TKO (punches)	UFC 111	1	2:47	Newark, New Jersey , United States
Loss	11–5	Gray Maynard	Decision (split)	UFC Fight Night: Maynard vs. Diaz	3	5:00	Fairfax, Virginia , United States
Win	11–4	Melvin Guillard	Submission (guillotine choke)	UFC Fight Night: Diaz vs. Guillard	2	2:13	Oklahoma City, Oklahoma , United States
Loss	10–4	Joe Stevenson	Decision (unanimous)	The Ultimate Fighter 9 Finale	3	5:00	Las Vegas, Nevada, United States
Loss	10–3	Clay Guida	Decision (split)	UFC 94	3	5:00	Las Vegas, Nevada, United States
Win	10–2	Josh Neer	Decision (split)	UFC Fight Night: Diaz vs Neer	3	5:00	Omaha, Nebraska , United States
Win	9–2	Kurt Pellegrino	Submission (triangle choke)	UFC Fight Night: Florian vs Lauzon	2	3:06	Broomfield, Colorado , United States
Win	8–2	Alvin Robinson	Submission (triangle choke)	UFC Fight Night: Swick vs Burkman	1	3:39	Las Vegas, Nevada, United States
Win	7–2	Junior Assunção	Submission (guillotine choke)	UFC Fight Night: Thomas vs Florian	1	4:10	Las Vegas, Nevada, United States
Win	6–2	Manvel Gamburyan	Submission (injury)	The Ultimate Fighter 5 Finale	2	0:20	Las Vegas, Nevada, United States
Loss	5–2	Hermes França	Submission (armbar)	WEC 24	2	2:46	Lemoore, California , United States
Win	5–1	Dennis Davis	Submission (keylock)	Warrior Cup	1	2:00	Stockton, California , United States
Win	4–1	Joe Hurley	Submission (triangle choke)	WEC 21	2	2:03	Highland, California , United States
Win	3–1	Gil Rael	TKO (punches)	WEC 20	1	3:35	Lemoore, California , United States
Win	2–1	Tony Juares	TKO (punches)	Strikeforce: Shamrock vs. Gracie	1	3:23	San Jose, California , United States
Loss	1–1	Koji Oishi	Decision (unanimous)	Pancrase 2005 Neo Blood Tournament Finals	3	5:00	Tokyo, Japan
Win	1–0	Alex Gracia	Submission (triangle choke)	WEC 12	3	2:17	Lemoore, California , United States
