Player	Played	Legs Won	Legs Lost	100+	140+	180s	High Checkout	3-dart Average
Terry Jenkins	1	2	6	16	7	1	40	101.84
Phil Taylor	5	50	17	84	65	11	161	100.65
Raymond van Barneveld	3	20	13	41	43	4	96	99.79
Alan Tabern	2	8	9	26	15	4	121	97.15
Wayne Mardle	2	10	10	31	12	6	119	96.65
Wayne Jones	2	10	8	28	12	5	127	96.09
Mervyn King	3	17	15	37	32	7	118	95.31
James Wade	4	31	28	76	49	16	167	95.24
Andy Smith	2	6	7	16	15	3	161	94.54
Mark Walsh	1	4	6	17	3	2	66	94.06
Tony Eccles	1	4	6	11	9	2	56	93.16
Ronnie Baxter	4	23	26	54	31	6	167	92.82
Colin Lloyd	3	12	12	25	19	5	72	92.49
Michael van Gerwen	1	3	6	13	5	1	60	92.10
John Part	2	11	9	26	9	5	101	91.73
Robert Thornton	5	43	38	99	58	20	150	91.62
Andy Hamilton	2	8	8	23	11	1	44	90.78
Andy Jenkins	1	4	6	15	5	0	84	90.75
Dennis Priestley	3	17	17	48	24	6	156	90.03
Kevin Painter	2	11	11	28	17	3	105	89.02
Peter Manley	1	2	6	13	7	0	101	88.25
Vincent van der Voort	2	9	8	17	13	4	161	88.22
Alex Roy	1	5	6	15	6	2	114	87.51
Adrian Lewis	1	3	6	6	7	1	121	86.13
Denis Ovens	1	3	6	13	4	3	78	84.80
Mark Dudbridge	1	5	6	12	9	3	52	83.97
Steve Beaton	1	2	6	8	2	2	106	83.34
Steve Maish	1	3	6	13	6	0	76	81.98
Felix McBrearty	1	2	6	8	4	0	40	81.69
Jamie Caven	1	1	6	8	2	0	78	81.23
Colin Osborne	1	1	6	6	3	1	92	79.74
