Name	Years	Gender	Area	Authority	Decile	Roll
Bayfield School	1–6	Coed	Herne Bay	State	10	387
Freemans Bay School	1–6	Coed	Freemans Bay	State	6	428
Grey Lynn School	1–6	Coed	Grey Lynn	State	7	347
Kadimah College	1–8	Coed	Newton	State integrated	10	214
Marist School	1–8	Coed	Herne Bay	State integrated	7	199
Newmarket School	1–6	Coed	Newmarket	State	8	295
Newton Central School	1–6	Coed	Grey Lynn	State	7	262
Parnell School	1–8	Coed	Parnell	State	10	498
Ponsonby Intermediate	7–8	Coed	Ponsonby	State	9	534
Ponsonby Primary School	1–6	Coed	Herne Bay	State	10	353
Richmond Road School	1–6	Coed	Ponsonby	State	8	147
St Joseph's School	1–8	Coed	Grey Lynn	State integrated	4	83
Westmere School	1–6	Coed	Westmere	State	10	637
