Outcome	Event	Year	Venue	Partner
World Championships	World Championships	World Championships	World Championships	World Championships
3	WD	1987	Beijing, China	Chung So-young
3	WD	1985	Calgary, Canada	Yoo Sang-hee
Asian Games	Asian Games	Asian Games	Asian Games	Asian Games
2	WD	1986	Seoul, South Korea	Yoo Sang-hee
2	WD	1982	New Delhi, India	Yoo Sang-hee
All England Open	All England Open	All England Open	All England Open	All England Open
1	WD	1988	London, England	Chung So-young
Other Open Tournaments	Other Open Tournaments	Other Open Tournaments	Other Open Tournaments	Other Open Tournaments
1	WD	1988	Belgian Open	Yoo Sang-hee
1	XD	1987	French Open	Park Joo-bong
1	WD	1986	Scandinavian Open	Yoo Sang-hee
1	WD	1986	German Open	Yoo Sang-hee
1	WD	1985	Danish Open	Yoo Sang-hee
1	WD	1985	Japan Open	Yoo Sang-hee
1	WD	1984	Swedish Open	Yoo Sang-hee
1	WD	1984	Danish Open	Yoo Sang-hee
1	WD	1983	Malaysia Open	Yoo Sang-hee
