Position	Driver	Entrant	Class	Laps
1	Bib Stillwell	BS Stillwell	A1½LF	20
2	Leo Geoghegan	Total Team	A1½LF	20
3	John Ampt	J Ampt	A1½LF	19
4	Glyn Scott	Glyn Scott Motors	A1½LF	19
5	Noel Potts	N Potts	A1½LF	18
6	Ric Price	R Price	AF2	17
7	Lionel Ayers	Motor Racing Components	AF2	16
8	Kevin Bartlett	J McGuire	AF2	16
9	Andy Macgregor	Total Armadale	AF2	16
DNF	Barry Collerson	B Collerson	AF2	14
DNF	Barry Lake	B Lake	A1½LF	13
DNF	Max Stewart	M Stewart	AF2	10
DNF	Mike Champion	M Champion	A1½LF	9
DNF	Phil West	Kurt Keller Motors	AF2	8
DNF	Bob Salter	Salter Motors	A1½LF	3
DNF	Allan Felton	Kurt Keller Motors	AF2	1
