Name	Team	Laps	Time/Retired	Grid
Garth Tander	HSV Dealer Team	27	44:22.8901	7
Mark Skaife	Holden Racing Team	27	44:25.0081	2
Jamie Whincup	Triple Eight Race Engineering	27	44:30.2066	3
Craig Lowndes	Triple Eight Race Engineering	27	44:31.1292	6
Rick Kelly	HSV Dealer Team	27	44:31.9938	1
Todd Kelly	Holden Racing Team	22	44:37.5393	4
Mark Winterbottom	Ford Performance Racing	27	44:38.0844	8
Russell Ingall	Stone Brothers Racing	27	44:38.3849	9
Will Davison	Dick Johnson Racing	27	44:39.2158	10
Greg Murphy	Tasman Motorsport	27	44:40.5244	15
Lee Holdsworth	Garry Rogers Motorsport	27	44:40.7724	14
James Courtney	Stone Brothers Racing	27	44:49.2402	11
Steven Johnson	Dick Johnson Racing	27	44:49.5746	22
Shane Van Gisbergen	Team Kiwi Racing	27	44:52.9996	16
Cameron McConville	Paul Weel Racing	27	44:54.8540	20
Shane Price	Perkins Motorsport	27	44:56.6239	17
Jason Richards	Tasman Motorsport	27	44:56.9721	5
Steve Owen	Rod Nash Racing	27	45:00.8395	21
Max Wilson	WPS Racing	27	45:02.4155	19
Dean Canto	Garry Rogers Motorsport	27	45:03.4082	26
Andrew Jones	Brad Jones Racing	27	45:06.5586	23
Marcus Marshall	Perkins Motorsport	27	45:11.6344	25
Jason Bargwanna	WPS Racing	27	45:13.7269	24
Alan Gurr	Britek Motorsport	27	45:18.1815	31
Paul Dumbrell	Paul Weel Racing	27	45:19.8692	29
Simon Wills	Brad Jones Racing	27	45:24.0657	30
Steven Richards	Ford Performance Racing	27	45:52.2962	12
John Bowe	Paul Cruickshank Racing	27	45:57.0551	27
Paul Morris	Paul Morris Motorsport	12	35:12.7448	18
Owen Kelly	Paul Morris Motorsport	7	13:43.0249	28
Jason Bright	Britek Motorsport	6	9:54.6552	13
