Tournament	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	1R	1R	2R
French Open	QF	QF	2R	A
Wimbledon	1R	2R	2R	1R
US Open	A	1R	3R	SF
Win–Loss	3–2	4–4	4–3	5–3
ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals
ATP World Tour Finals	Did Not Qualify	Did Not Qualify	Did Not Qualify	W
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells	2R	W	SF	W
Miami	2R	2R	2R	2R
Monte Carlo	A	QF	1R	SF
Madrid	2R	QF	2R	QF
Rome	A	A	1R	W
Canada	A	A	1R	F
Cincinnati	A	A	2R	QF
Shanghai	A	2R	1R	A
Paris	A	A	A	A
Win–Loss	3–3	11–4	6–8	20–5
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles–Finals	1–1	3–4	1–4	4–8
Win–Loss	13–10	37–20	33–27	48–20
