Club	First season in top division	Number of seasons in top division	First season of current spell in top division	Number of seasons in Liga MX	Top division titles
América	1943-44	89	1943-44	89	11
Atlante	1943-44	87	1991-92	40	3
Atlas	1943-44	86	1979-80	51	1
Chiapas	2002-03	22	2002-03	22	0
Cruz Azul	1964-65	68	1964-65	68	8
Guadalajara	1943-44	89	1943-44	89	11
León	1944-45	65	2012-13	2	5
Monterrey	1945-46	74	1960-61	72	4
Morelia	1957-58	61	1981-82	50	1
Pachuca	1967-68	40	1998-99	30	5
Puebla	1944-45	69	2007-08	12	2
Querétaro	1990-91	18	2009-10	8	0
Santos Laguna	1988-89	42	1988-89	42	4
Tijuana	2011-12	4	2011-12	4	1
Toluca	1953-54	79	1953-54	79	10
UANL	1974-75	55	1997-98	32	3
UNAM	1962-63	70	1962-63	70	7
