Round	Circuit	Series	Pole Position	Fastest Lap	Winning Driver	Winning Team
1	Vallelunga	Italian	Gianni Morbidelli	Gianni Morbidelli	Gianni Morbidelli	Audi Sport Italia
1	Vallelunga	International	Stefano Gabellini	Stefano Gabellini	Stefano Gabellini	CAAL Racing
2	Mugello	Italian	Stefano Gabellini	Giorgio Sanna	Stefano Gabellini	CAAL Racing
2	Mugello	International	Stefano Gabellini	Stefano Gabellini	Stefano Gabellini	CAAL Racing
3	Monza	Italian	Gianni Morbidelli	Gianni Morbidelli	Giorgio Sanna	Audi Sport Italia
3	Monza	International	Roberto Papini	Kristian Ghedina	Kristian Ghedina	Millenium Team
4	Magione	Italian	Giorgio Sanna	Giorgio Sanna	Gianni Morbidelli	Audi Sport Italia
5	Valencia	Italian	Gianni Morbidelli	Gianni Morbidelli	Gianni Morbidelli	Audi Sport Italia
5	Valencia	International	Stefano Gabellini	Stefano Gabellini	Roberto Papini	CAAL Racing
6	Varano	Italian	Luca Rangoni	Luca Rangoni	Luca Rangoni	ROAL Motorsport
7	Misano Adriatico	Italian	Giorgio Sanna	Stefano Gabellini	Stefano Gabellini	CAAL Racing
8	Adria	Italian	Gianni Morbidelli	Gianni Morbidelli	Roberto Papini	CAAL Racing
