No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
249	1	"Locum"	Arthur W. Forney	Dawn DeNoon	September22,2010	12001	9.68
250	2	"Bullseye"	Peter Leto	Daniel Truly	September22,2010	12002	10.36
251	3	" Behave "	Helen Shaver	Jonathan Greene	September29,2010	12003	9.48
252	4	"Merchandise"	Peter Leto	Judith McCreary	October6,2010	12004	8.69
253	5	"Wet"	Jonathan Kaplan	Speed Weed	October13,2010	12005	8.13
254	6	"Branded"	Peter Leto	Chris Brancato	October20,2010	12006	8.74
255	7	"Trophy"	Donna Deitch	Ken Storer	November3,2010	12007	8.13
256	8	"Penetration"	Peter Leto	Dawn DeNoon & Christine M. Torres	November10,2010	12008	7.18
257	9	"Gray"	Helen Shaver	George Huang	November17,2010	12009	7.65
258	10	"Rescue"	Peter Leto & Constantine Makris	Daniel Truly	December1,2010	12010	9.22
259	11	"Pop"	Norberto Barba	Jonathan Greene	January5,2011	12011	10.60
260	12	"Possessed"	Constantine Makris	Brian Fagan	January5,2011	12012	10.60
261	13	"Mask"	Donna Deitch	Speed Weed	January12,2011	12013	8.39
262	14	"Dirty"	Helen Shaver	Judith McCreary	January19,2011	12014	6.97
263	15	"Flight"	Alex Chapple	Dawn DeNoon & Christine M. Torres	February2,2011	12015	8.81
264	16	"Spectacle"	Peter Leto	Chris Brancato	February9,2011	12016	7.89
265	17	"Pursuit"	Jonathan Kaplan	Judith McCreary	February16,2011	12017	7.31
266	18	"Bully"	Helen Shaver	Ken Storer	February23,2011	12018	8.02
267	19	"Bombshell"	Patrick Creadon	Daniel Truly	March23,2011	12019	8.84
268	20	"Totem"	Jonathan Kaplan	Jonathan Greene	March30,2011	12020	8.54
269	21	"Reparations"	Constantine Makris	Christine M. Torres	April6,2011	12021	8.29
270	22	"Bang"	Peter Leto	Speed Weed	May4,2011	12022	8.53
271	23	"Delinquent"	Holly Dale	Dawn DeNoon	May11,2011	12023	8.10
