Week	Date	Opponent	Location	Time ( ET )	Result	Record
1	Sun. Sep. 9	at Cleveland Browns	Cleveland Municipal Stadium	4:00pm	L 13–3	0–1
2	Sun. Sep. 16	Houston Oilers	Three Rivers Stadium	8:00pm	W 20–9	1–1
3	Sun. Sep. 23	at Los Angeles Raiders	Los Angeles Memorial Coliseum	4:00pm	L 20–3	1–2
4	Sun. Sep. 30	Miami Dolphins	Three Rivers Stadium	1:00pm	L 28–6	1–3
5	Sun. Oct. 7	San Diego Chargers	Three Rivers Stadium	1:00pm	W 36–14	2–3
6	Sun. Oct. 14	at Denver Broncos	Mile High Stadium	4:00pm	W 34–17	3–3
7	Sun. Oct. 21	at San Francisco 49ers	Candlestick Park	4:00pm	L 27–7	3–4
8	Mon. Oct. 29	Los Angeles Rams	Three Rivers Stadium	9:00pm	W 41–10	4–4
9	Sun. Nov. 4	Atlanta Falcons	Three Rivers Stadium	1:00pm	W 21–9	5–4
10	Sun. Nov. 11	Bye	Bye	Bye	Bye	Bye
11	Sun. Nov. 18	at Cincinnati Bengals	Riverfront Stadium	8:00pm	L 27–3	5–5
12	Sun. Nov. 25	at New York Jets	Giants Stadium	4:00pm	W 24–7	6–5
13	Sun. Dec. 2	Cincinnati Bengals	Three Rivers Stadium	1:00pm	L 16–12	6–6
14	Sun. Dec. 9	New England Patriots	Three Rivers Stadium	1:00pm	W 24–3	7–6
15	Sun. Dec. 16	at New Orleans Saints	Louisiana Superdome	1:00pm	W 9–6	8–6
16	Sun. Dec. 23	Cleveland Browns	Three Rivers Stadium	1:00pm	W 35–0	9–6
17	Sun. Dec. 30	at Houston Oilers	Astrodome	8:00pm	L 34–14	9–7
