Round	Player	Position	Nationality	College/Junior/Club Team
1	Mike Rathje	Defense	Canada	Medicine Hat Tigers (WHL)
1	Andrei Nazarov	Left Wing	Russia	HC Dynamo Moscow (Russia)
3	Alexander Cherbayev	Right Wing	Russia	Voskresensk Khimik (Russia)
4	Jan Caloun	Right Wing	Czechoslovakia	Litvinov Chemopetrol (Czech)
5	Marcus Ragnarsson	Defense	Sweden	Djurgardens IF Stockholm (SEL)
6	Michal Sykora	Defense	Czechoslovakia	Tacoma Rockets (WHL)
7	Eric Bellerose	Left Wing	Canada	Trois-Rivières Draveurs (QMJHL)
8	Ryan Smith	Defense	Canada	Brandon Wheat Kings (WHL)
9	Chris Burns	Goalie	Canada	U. of Denver (NCAA)
10	Alex Kholomeyev	Right Wing	Russia	Fort Worth Fire (CHL)
11	Victor Ignatjev	Defense	Latvia	Riga Pardaugava (Russia)
