Driver	Constructor	Laps	Time/retired	Grid
Alberto Ascari	Ferrari	20	3:23:03.3	1
Juan Manuel Fangio	Alfa Romeo	20	+30.5	3
José Froilán González	Ferrari	20	+4:39.0	2
Luigi Villoresi	Ferrari	20	+5:50.2	5
Piero Taruffi	Ferrari	20	+7:49.1	6
Rudi Fischer	Ferrari	19	+1 lap	8
Robert Manzon	Simca-Gordini	19	+1 lap	9
Louis Rosier	Talbot-Lago - Talbot	19	+1 lap	15
Pierre Levegh	Talbot-Lago - Talbot	18	+2 laps	19
Jacques Swaters	Talbot-Lago - Talbot	18	+2 laps	22
Johnny Claes	Talbot-Lago - Talbot	17	+3 laps	18
Yves Giraud Cabantous	Talbot-Lago - Talbot	17	Accident	11
Maurice Trintignant	Simca-Gordini	13	Engine	14
Felice Bonetto	Alfa Romeo	12	Magneto	10
Duncan Hamilton	Talbot-Lago - Talbot	12	Oil pressure	20
Paul Pietsch	Alfa Romeo	11	Accident	7
André Simon	Simca-Gordini	11	Engine	12
Nino Farina	Alfa Romeo	8	Overheating	4
Philippe Étancelin	Talbot-Lago - Talbot	4	Gearbox	21
Louis Chiron	Talbot-Lago - Talbot	3	Ignition	13
Toni Branca	Maserati	3	Engine	17
Toulo de Graffenried	Maserati	2	Engine	16
