Driver	Constructor	Laps	Time/Retired	Grid
Juan Manuel Fangio	Maserati	36	2:44:42.4	1
Maurice Trintignant	Ferrari	36	+ 24.2	6
Stirling Moss	Maserati	35	+ 1 Lap	9
Mike Hawthorn José Froilán González	Ferrari	35	+ 1 Lap	5
André Pilette	Gordini	35	+ 1 Lap	8
Prince Bira	Maserati	35	+ 1 Lap	13
Sergio Mantovani	Maserati	34	+ 2 Laps	11
Nino Farina	Ferrari	14	Ignition	3
Paul Frère	Gordini	14	Engine	10
Jean Behra	Gordini	12	Suspension	7
Onofre Marimón	Maserati	3	Engine	4
José Froilán González	Ferrari	1	Engine	2
Jacques Swaters	Ferrari	1	Engine	14
Roberto Mieres	Maserati	0	Fire	12
