Year	Author(s) or Editor(s)	Book Title	Publisher	Category	Result
1989	Michael Nava	Goldenboy	Alyson	Gay M/SF	Won [A ]
1989	Donald Ward	Death Takes the Stage	St. Martin's Press	Gay M/SF	Nom
1989	Michael Bishop	Unicorn Mountain	William Morrow	Gay M/SF	Nom
1989	Joseph Hansen	Obedience	Mysterious Press	Gay M/SF	Nom
1989	George Baxt	Whoӳ Next	International Polygonics	Gay M/SF	Nom
1989	Antoinette Azolakov	Skiptrace	Banned Books	Lesb. M/SF	Won
1989	Claire McNab	Lessons In Murder	Naiad Press	Lesb. M/SF	Nom
1989	Judy Grahn	Mundaneӳ World	Crossing Press	Lesb. M/SF	Nom
1989	Dolores Klaich	Heavy Gilt	Naiad Press	Lesb. M/SF	Nom
1989	Sandy Bayer	The Crystal Curtain	Alyson	Lesb. M/SF	Nom
1990	Jeffrey N. McMahan	Somewhere in the Night	Alyson	Gay SF/F	Won [B ]
1990	Thom Nickels	Walking Water / After All This	Banned Books	Gay SF/F	Nom
1990	William K. Eakins	Key West 2720 AD	Knights Press	Gay SF/F	Nom
1990	Mercedes Lackey	Magic's Pawn	DAW Books	Gay SF/F	Nom
1990	Geoff Mains	Gentle Warriors	Knights Press	Gay SF/F	Nom
1990	Jessica Amanda Salmonson (ed.)	What Did Miss Darrington See?	Feminist Press	Lesb. SF/F	Won
1990	Nancy Tyler Glenn	Clicking Stones	Naiad Press	Lesb. SF/F	Nom
1990	Lauren Wright Douglas	In The Blood	Naiad Press	Lesb. SF/F	Nom
1990	Susanna J. Sturgis (ed.)	Memories and Visions	Crossing Press	Lesb. SF/F	Nom
1990	Lee Lynch	Sue Slate: Private Eye	Naiad Press	Lesb. SF/F	Nom
1990	Mercedes Lackey	Magic's Price	DAW Books	Gay SF/F	Won (Joint)
1991	Toby Johnson	Secret Matter	Lavender	Gay SF/F	Won (Joint)
1991	Marsh Cassady	Alternate Casts	Banned	Gay SF/F	Nom
1991	Storm Constantine	Enchantments of Flesh and Spirit	Tor	Gay SF/F	Nom
1991	Scott Edelman	The Gift	Space and Time	Gay SF/F	Nom
1991	Gael Baudino	Gossamer Axe	Roc	Lesb. SF/F	Won
1991	Patrick Califia	Doc and Fluff	Alyson	Lesb. SF/F	Nom
1991	Melissa Scott	Mighty Good Road	Baen	Lesb. SF/F	Nom
1991	Lynda Lyons	Priorities	Naiad Press	Lesb. SF/F	Nom
1991	Karen Marie Christa Minns	Virago	Naiad Press	Lesb. SF/F	Nom
1992	Frank M. Robinson	The Dark Beyond the Stars	Tor	Gay SF/F	Won
1992	Eric Garber (ed.)	Embracing the Dark	Alyson	Gay SF/F	Nom
1992	Perry Brass	Mirage	Belhue	Gay SF/F	Nom
1992	Jay B. Laws	Steam	Alyson	Gay SF/F	Nom
1992	Jeffrey N. McMahan	Vampires Anonymous	Alyson	Gay SF/F	Nom
1992	Jewelle Gomez	The Gilda Stories	Firebrand	Lesb. SF/F	Won [C ]
1992	B.L. Holmes	Mega	Mother Courage	Lesb. SF/F	Nom
1992	Chris Anne Wolfe	Shadows of Aggar	New Victoria	Lesb. SF/F	Nom
1992	Camarin Grae	Stranded	Naiad Press	Lesb. SF/F	Nom
1992	Judith Alguire	Zeta Base	Naiad Press	Lesb. SF/F	Nom
1993	Maureen F. McHugh	China Mountain Zhang	Tor	Gay SF/F	Won
1993	Poppy Z. Brite	Lost Souls	Abyss / Delacorte	Gay SF/F	Nom
1993	Lewis Gannett	The Living One	Random House	Gay SF/F	Nom
1993	Thomas T. Thomas	Cry Gender	Baen	Gay SF/F	Nom
1993	Anne Rice	The Tale of the Body Thief	Knopf	Gay SF/F	Nom
1993	Nicola Griffith	Ammonite	Del Rey	Lesb. SF/F	Won
1993	Jean Stewart	Return to Isis	Rising Tide	Lesb. SF/F	Nom
1993	Severna Park	Speaking Dreams	Firebrand	Lesb. SF/F	Nom
1993	Melissa Scott	Dreamships	Tor	Lesb. SF/F	Nom
1993	Judith Katz	Running Fiercely Toward a High Thin Sound	Firebrand	Lesb. SF/F	Nom [D ]
1994	Starhawk	The Fifth Sacred Thing	Bantam	SF/F	Won(Joint)
1994	Poppy Brite	Drawing Blood	Delacorte	SF/F	Nom
1994	Sybil Claiborne	In the Garden of Dead Cars	Cleis Press	SF/F	Nom
1994	Melissa Scott	Burning Bright	Tor	SF/F	Nom
1994	Jay B. Laws	The Unfinished	Alyson	SF/F	Nom
1995	Melissa Scott	Trouble and Her Friends	Tor	SF/F	Won(Joint)
1995	Suzy McKee Charnas	The Furies	Tor	SF/F	Nom
1995	Nancy Springer	Metal Angel	Roc Fantasy	SF/F	Nom
1995	Mercedes Lackey	Storm Warning	DAW Books	SF/F	Nom
1995	Jean Stewart	Warriors of Isis	DAW Books	SF/F	Nom
1996	Melissa Scott	Shadow Man	Tor	SF/F	Won(Joint)
1996	Nicola Griffith	Slow River	Del Rey	SF/F	Won (Joint)
1996	Felice Picano	Drylandӳ End	Richard Kasak	SF/F	Nom
1996	Pam Keesey	Dark Angels	Cleis Press	SF/F	Nom
1996	Samuel R. Delany	Atlantis: Three Tales	Wesleyan	SF/F	Nom
1997	Clive Barker	Sacrament	HarperCollins	SF/F	Won
1997	Rachel Pollack	Godmother Night	St. Martinӳ	SF/F	Nom
1997	Michael Rowe & Thomas S. Roche (eds.)	Sons of Darkness	Cleis Press	SF/F	Nom
1997	Eric Garber & Jewelle Gomez (eds.)	Swords of the Rainbow	Alyson	SF/F	Nom
1997	Pam Keesey (eds.)	Women Who Run With Werewolves	Cleis Press	SF/F	Nom
1998	Nicola Griffith & Stephen Pagel (eds.)	Bending The Landscape:Fantasy	White Wolf	SF/F	Won
1998	William J. Mann	Grave Passions: Tales of the Gay Supernatural	Masquerade	SF/F	Nom
1998	Perry Brass	The Harvest	Belhue	SF/F	Nom
1998	Harry M. Benshoff (ed.)	Monsters in the Closet	Manchester University	SF/F	Nom [E ]
1998	Lawrence Schimel (ed.)	The Drag Queen of Elfland	Circlet Press	SF/F	Nom
1999	Nicola Griffith & Stephen Pagel (eds.)	Bending the Landscape:Science Fiction	Overlook	SF/F	Won(Joint)
1999	Clive Barker	Galilee	HarperCollins	SF/F	Won (Joint)
1999	Ulysses G. Dietz	Desmond	Alyson	SF/F	Nom
1999	Elizabeth Brownrigg	Falling to Earth	Firebrand	SF/F	Nom
1999	Lawrence Schimel (ed.)	Things Invisible to See	Ultra Violet	SF/F	Nom
2000	Richard Bowes	Minions of the Moon	Tor	SF/F	Won
2000	Victoria Brownworth & Judith Redding (eds.)	Night Shade: Gothic Tales by Women	Seal Press	SF/F	Nom
2000	Severna Park	The Annunciate	Avon	SF/F	Nom
2000	Keith Hartman	The Gumshoe, the Witch, and the Virtual Corpse	Meisha Merlin	SF/F	Nom [F ]
2000	Delia Sherman	Through a Brazen Mirror	Circlet Press / Ace	SF/F	Nom
2001	Jim Grimsley	Kirith Kirin	Meisha Merlin	SF/F/H	Won
2001	Michael Rowe (ed.)	Queer Fear	Arsenal Pulp Press	SF/F/H	Nom [G ]
2001	Anne Rice	Merrick	Knopf	SF/F/H	Nom
2001	Perry Brass	Angel Lust	Belhue	SF/F/H	Nom
2001	David Gerrold	Jumping off the Planet	Tor	SF/F/H	Nom
2002	Melissa Scott & Lisa A. Barnett	Point of Dreams	Tor	SF/F/H	Won
2002	Nicola Griffith & Stephen Pagel (eds.)	Bending the Landscape: Horror	Overlook Press	SF/F/H	Nom
2002	David Thomas Lord	Bound in Blood	Kensington	SF/F/H	Nom
2002	Keith Hartman	Gumshoe Gorilla	Meisha Merlin	SF/F/H	Nom
2002	Michael Schiefelbein	Vampire Vow	Alyson	SF/F/H	Nom
2003	Michael Rowe (ed.)	Queer Fear II	Arsenal Pulp	SF/F/H	Won [H ]
2003	Katherine V. Forrest	Daughters of an Amber Noon	Overlook Press	SF/F/H	Nom
2003	Karin Kallmaker (as Laura Adams)	Seeds of Fire	Bella Books	SF/F/H	Nom
2003	Randy Boyd	The Devil Inside	West Beach	SF/F/H	Nom
2003	Cecilia Tan (ed.)	Wired Hard 3	Circlet Press	SF/F/H	Nom
2004	Helen Sandler (ed.)	Necrologue	Diva	SF/F/H	Won
2004	David M. Pierce	Elf Child	Southern Tier	SF/F/H	Nom
