Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Simon Gagne	Left Wing	Canada	Quebec Remparts ( QMJHL )
2	Jason Beckett	Defense	Canada	Seattle Thunderbirds ( WHL )
2	Ian Forbes	Defense	Canada	Guelph Storm ( OHL )
4	J. P. Morin	Defense	Canada	Drummondville Voltigeurs (QMJHL)
5	Francis Belanger	Left Wing	Canada	Rimouski Océanic (QMJHL)
5	Garrett Prosofsky	Center	Canada	Saskatoon Blades (WHL)
6	Antero Niittymaki	Goaltender	Finland	TPS ( SM-liiga )
7	Cam Ondrik	Goaltender	Canada	Medicine Hat Tigers (WHL)
7	Tomas Divisek	Right Wing	Czech Republic	HC Slavia Praha (CZE)
8	Lubomir Pistek	Right Wing	Slovakia	Bratislava Slovan (Slovakia)
9	Petr Hubacek	Center	Czech Republic	Brno Kometa (Czech)
9	Bruno St. Jacques	Defense	Canada	Baie-Comeau Drakkar (QMJHL)
9	Sergei Skrobot	Defense	Russia	Dynamo-2 Moscow (RUS)
