Date	Visitor	Score	Home	Record
November 7	New York Americans	1–0	Chicago Black Hawks	0–1–0
November 10	Chicago Black Hawks	3–1	Montreal Canadiens	1–1–0
November 12	Chicago Black Hawks	6–5	Boston Bruins	2–1–0
November 14	Chicago Black Hawks	2–2	New York Americans	2–1–1
November 17	Montreal Canadiens	4–4	Chicago Black Hawks	2–1–2
November 21	Boston Bruins	2–0	Chicago Black Hawks	2–2–2
November 23	Chicago Black Hawks	1–0	Toronto Maple Leafs	3–2–2
November 24	Toronto Maple Leafs	4–2	Chicago Black Hawks	3–3–2
November 29	Chicago Black Hawks	1–3	Detroit Red Wings	3–4–2
December 1	New York Rangers	1–4	Chicago Black Hawks	4–4–2
December 5	Detroit Red Wings	5–1	Chicago Black Hawks	4–5–2
December 8	Boston Bruins	2–3	Chicago Black Hawks	5–5–2
December 12	Chicago Black Hawks	2–2	New York Americans	5–5–3
December 14	Chicago Black Hawks	1–2	Toronto Maple Leafs	5–6–3
December 15	Toronto Maple Leafs	4–1	Chicago Black Hawks	5–7–3
December 19	Montreal Canadiens	0–2	Chicago Black Hawks	6–7–3
December 22	New York Rangers	1–3	Chicago Black Hawks	7–7–3
December 25	Chicago Black Hawks	3–3	New York Rangers	7–7–4
December 26	Chicago Black Hawks	5–7	Montreal Canadiens	7–8–4
December 29	Chicago Black Hawks	1–2	Detroit Red Wings	7–9–4
January 1	Detroit Red Wings	4–1	Chicago Black Hawks	7–10–4
January 5	Chicago Black Hawks	2–2	Boston Bruins	7–10–5
January 7	Chicago Black Hawks	3–2	New York Rangers	8–10–5
January 9	Montreal Canadiens	1–3	Chicago Black Hawks	9–10–5
January 12	Detroit Red Wings	1–2	Chicago Black Hawks	10–10–5
January 16	Chicago Black Hawks	1–5	Montreal Canadiens	10–11–5
January 19	Boston Bruins	4–4	Chicago Black Hawks	10–11–6
January 23	New York Americans	1–3	Chicago Black Hawks	11–11–6
January 26	New York Rangers	1–4	Chicago Black Hawks	12–11–6
January 28	Chicago Black Hawks	2–3	Boston Bruins	12–12–6
January 30	Chicago Black Hawks	4–5	New York Americans	12–13–6
February 1	Chicago Black Hawks	1–3	Toronto Maple Leafs	12–14–6
February 2	Toronto Maple Leafs	1–4	Chicago Black Hawks	13–14–6
February 6	Chicago Black Hawks	2–6	New York Rangers	13–15–6
February 9	New York Rangers	2–1	Chicago Black Hawks	13–16–6
February 13	Montreal Canadiens	6–5	Chicago Black Hawks	13–17–6
February 14	Chicago Black Hawks	1–2	Detroit Red Wings	13–18–6
February 16	New York Americans	4–5	Chicago Black Hawks	14–18–6
February 20	Chicago Black Hawks	4–2	New York Americans	15–18–6
February 22	Chicago Black Hawks	3–7	Montreal Canadiens	15–19–6
February 23	Chicago Black Hawks	1–4	New York Rangers	15–20–6
February 27	Detroit Red Wings	0–1	Chicago Black Hawks	16–20–6
March 2	Boston Bruins	4–3	Chicago Black Hawks	16–21–6
March 4	Chicago Black Hawks	2–3	Boston Bruins	16–22–6
March 9	New York Americans	2–2	Chicago Black Hawks	16–22–7
March 13	Chicago Black Hawks	2–3	Detroit Red Wings	16–23–7
March 15	Chicago Black Hawks	1–7	Toronto Maple Leafs	16–24–7
March 16	Toronto Maple Leafs	3–0	Chicago Black Hawks	16–25–7
