Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Jun 6, 1976	Girl Talk Classic	+1 (72-73-72=217)	Playoff	Bonnie Lauer , Sandra Post , Judy Rankin
Jul 10, 1977	Bankers Trust Classic	–6 (75-68-70=213)	2 strokes	JoAnne Carner , Carol Mann , Kathy Whitworth
Jun 25, 1978	Lady Keystone Open	–10 (70-69-67=206)	4 strokes	Jane Blalock
Jul 30, 1978	Hoosier Classic	–10 (69-69-68=206)	3 strokes	JoAnne Carner
Sep 4, 1978	Rail Charity Classic	–12 (67-66-73-71=276)	4 strokes	Sharon Miller
Jul 20, 1980	Greater Baltimore Golf Classic	–13 (69-70-67=206)	1 stroke	Nancy Lopez
Aug 10, 1980	Peter Jackson Classic	–15 (65-72-69-71=277)	1 stroke	JoAnne Carner
Mar 29, 1981	Women's Kemper Open	E (71-75-68-70=284)	5 strokes	Debbie Massey
Jul 26, 1981	U.S. Women's Open	–9 (71-74-68-66=279)	1 stroke	Beth Daniel
Jan 30, 1983	Mazda Classic of Deer Creek	–16 (68-69-69-66=272)	7 strokes	Beth Daniel
May 22, 1983	Chrysler-Plymouth Charity Classic	–7 (73-73-66=212)	1 stroke	Stephanie Farwig
Aug 28, 1983	Columbia Savings Classic	–11 (71-69-70-67=277)	Playoff	Beth Daniel
Nov 13, 1983	Mazda Japan Classic	–10 (72-70-64=206)	7 strokes	Laurie Rinker
Jun 16, 1985	Rochester International	–8 (74-67-67-72=280)	2 strokes	Nancy Lopez
Jul 28, 1985	du Maurier Classic	–10 (70-73-67-68=278)	1 stroke	Jane Geddes
Aug 25, 1985	LPGA National Pro-Am	–4 (71-74-71-68=284)	Playoff	Amy Alcott
Apr 6, 1986	Nabisco Dinah Shore	–8 (68-72-69-71=280)	2 strokes	Val Skinner
Apr 27, 1986	S&H Golf Classic	–16 (69-67-71-65=272)	1 stroke	Janet Coles
Jun 1, 1986	LPGA Championship	–11 (67-72-70-68=277)	1 stroke	Patty Sheehan
Jul 27, 1986	du Maurier Classic	–12 (73-70-67-66=276)	Playoff	Ayako Okamoto
Aug 17, 1986	Nestle World Championship	–9 (72-72-72-63=279)	2 strokes	Betsy King , Nancy Lopez
Mar 29, 1987	Standard Register Turquoise Classic	–6 (75-74-67-70=286)	2 strokes	Christa Johnson
Apr 16, 1989	AI Star/Centinela Hospital Classic	–8 (72 69-67=208)	1 stroke	Nancy Lopez, Hollis Stacy
Feb 4, 1990	Oldsmobile LPGA Classic	–7 (66-65-74-76=281)	Playoff	Dale Eggeling
Mar 25, 1990	Standard Register Turquoise Classic	–12 (70-71-68-71=280)	1 stroke	Ayako Okamoto
May 27, 1990	LPGA Corning Classic	–10 (69-70-66-69=274)	3 strokes	Patty Sheehan
May 19, 1991	Centel Classic	–10 (70-68-69-71=278)	1 stroke	Ayako Okamoto
Sep 3, 1991	Rail Charity Golf Classic	–19 (67-65-65=197)	6 strokes	Danielle Ammaccapane
Sep 22, 1991	Safeco Classic	–8 69-67-72-72=280)	Playoff	Rosie Jones
Sep 29, 1991	MBS LPGA Classic	–11 (72-70-67-68=277)	1 stroke	Michelle Estill
Jan 22, 1995	HealthSouth Inaugural	–5 (71-72-68=211)	1 stroke	Beth Daniel
