Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Honda	19	38:49.425	1
Alex Barros	Honda	19	+2.233	5
Carlos Checa	Yamaha	19	+9.682	6
Max Biaggi	Yamaha	19	+13.308	2
Tohru Ukawa	Honda	19	+32.386	8
Kenny Roberts, Jr.	Suzuki	19	+33.278	3
John Hopkins	Yamaha	19	+35.463	10
Shinya Nakano	Yamaha	19	+35.619	14
Norifumi Abe	Yamaha	19	+37.443	19
Jurgen vd Goorbergh	Honda	19	+48.100	15
Alex Hofmann	Yamaha	19	+48.325	12
Daijiro Kato	Honda	19	+49.371	17
Tetsuya Harada	Honda	19	+51.758	7
Olivier Jacque	Yamaha	19	+1:11.790	20
Akira Ryo	Suzuki	19	+3:14.399	21
Nobuatsu Aoki	Proton KR	11	Retirement	13
Jeremy McWilliams	Proton KR	8	Retirement	9
Sete Gibernau	Suzuki	6	Accident	16
Régis Laconi	Aprilia	6	Retirement	11
Loris Capirossi	Honda	4	Accident	4
Pere Riba	Yamaha	3	Retirement	18
