Entrant	Constructor	Chassis	Engine	Driver
Team Ensign	Ensign	N180B	Cosworth DFV V8	Jim Crawford
Team Ensign	Ensign	N180B	Cosworth DFV V8	Joe Castellano
Colin Bennett Racing	McLaren	M29	Cosworth DFV V8	Arnold Glass
Colin Bennett Racing	March	811	Cosworth DFV V8	Val Musetti
Team Sanada	Fittipaldi	F8	Cosworth DFV V8	Tony Trimmer
Warren Booth	Shadow	DN9	Cosworth DFV V8	Warren Booth
John Jordan	BRM	P207	BRM 202 V12	David Williams
Nick Mason	Tyrrell	008	Cosworth DFV V8	John Brindley
EMKA Productions	Williams	FW07	Cosworth DFV V8	Steve O'Rourke
Team Peru	Williams	FW07	Cosworth DFV V8	Jorge Koechlin
