Rider	Bike	Laps	Time	Grid
James Toseland	Honda CBR1000RR	22	37:02.097	1
Noriyuki Haga	Yamaha YZF-R1	22	+0.663	15
Rubén Xaus	Ducati 999 F06	22	+3.698	5
Troy Bayliss	Ducati 999 F07	22	+7.134	3
Lorenzo Lanzi	Ducati 999 F07	22	+9.312	2
Max Biaggi	Suzuki GSX-R1000 K7	22	+9.534	4
Yukio Kagayama	Suzuki GSX-R1000 K7	22	+18.286	8
Fonsi Nieto	Kawasaki ZX-10R	22	+18.403	10
Roberto Rolfo	Honda CBR1000RR	22	+19.873	11
Max Neukirchner	Suzuki GSX-R1000 K6	22	+22.914	7
Jakub Smrž	Ducati 999 F05	22	+29.602	12
Michel Fabrizio	Honda CBR1000RR	22	+40.961	16
Shinichi Nakatomi	Yamaha YZF-R1	22	+41.008	17
Dean Ellison	Ducati 999RS	22	+1:12.714	19
Marek Svoboda	Yamaha YZF-R1	20	+2 Laps	21
Régis Laconi	Kawasaki ZX-10R	20	+2 Laps	13
Troy Corser	Yamaha YZF-R1	20	Retirement	6
Karl Muggeridge	Honda CBR1000RR	10	Retirement	9
Josh Brookes	Honda CBR1000RR	8	Retirement	14
Luca Morelli	Ducati 999RS	0	Retirement	20
Christian Zaiser	MV Agusta F4 312 R	0	Retirement	18
