Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
16	December 2	@ Indiana	L 117–118 (OT)	Kobe Bryant (28)	Pau Gasol , Andrew Bynum (9)	Conseco Fieldhouse 16,412	14–2
17	December 3	@ Philadelphia	W 114–102 (OT)	Kobe Bryant (32)	Pau Gasol (13)	Wachovia Center 19,119	15–2
18	December 5	@ Washington	W 106–104 (OT)	Kobe Bryant (23)	Pau Gasol , Andrew Bynum (10)	Verizon Center 20,173	16–2
19	December 7	Milwaukee	W 105–92 (OT)	Kobe Bryant (20)	Andrew Bynum (14)	Staples Center 18,997	17–2
20	December 9	@ Sacramento	L 101–113 (OT)	Kobe Bryant (28)	Pau Gasol (12)	ARCO Arena 16,068	17–3
21	December 10	Phoenix	W 115–110 (OT)	Pau Gasol (28)	Andrew Bynum (11)	Staples Center 18,997	18–3
22	December 12	Sacramento	W 112–103 (OT)	Kobe Bryant (32)	Pau Gasol (11)	Staples Center 18,997	19–3
23	December 14	Minnesota	W 98–86 (OT)	Kobe Bryant (26)	Pau Gasol (11)	Staples Center 18,997	20–3
24	December 16	New York	W 116–114 (OT)	Kobe Bryant (28)	Lamar Odom (12)	Staples Center 18,997	21–3
25	December 19	@ Miami	L 87–89 (OT)	Kobe Bryant (28)	Pau Gasol (11)	American Airlines Arena 19,600	21–4
26	December 20	@ Orlando	L 103–106 (OT)	Kobe Bryant (41)	Kobe Bryant , Lamar Odom (8)	Amway Arena 17,461	21–5
27	December 22	@ Memphis	W 105–96 (OT)	Kobe Bryant (36)	Pau Gasol (7)	FedExForum 17,456	22–5
28	December 23	@ New Orleans	W 100–87 (OT)	Kobe Bryant (26)	Lamar Odom (8)	New Orleans Arena 18,405	23–5
29	December 25	Boston	W 92–83 (OT)	Kobe Bryant (27)	Kobe Bryant (9)	Staples Center 18,997	24–5
30	December 28	Golden State	W 130–113 (OT)	Kobe Bryant (31)	Andrew Bynum (10)	Staples Center 18,997	25–5
