Date	Visitor	Score	Home	Leading scorer	Record
3 December 2002	Spurs	75–89	Rockets	Tim Duncan (25)	11–8
6 December 2002	76ers	93–98	Spurs	Tim Duncan (29)	12–8
8 December 2002	Kings	104–80	Spurs	Tim Duncan (16)	12–9
11 December 2002	Mavericks	104–111	Spurs	Tony Parker (32)	13–9
13 December 2002	Clippers	84–97	Spurs	Tim Duncan (25)	14–9
16 December 2002	Spurs	79–91	Clippers	Tim Duncan (32)	14–10
18 December 2002	Spurs	91–88	SuperSonics	Tony Parker (22)	15–10
19 December 2002	Spurs	83–81	Kings	Tim Duncan (23)	16–10
21 December 2002	Wizards	81–92	Spurs	Tony Parker (21)	17–10
23 December 2002	Hornets	94–99	Spurs	Tim Duncan (23)	18–10
27 December 2002	Spurs	79–81	Hawks	Tim Duncan (27)	18–11
28 December 2002	Spurs	109–95	Bulls	Tony Parker (32)	19–11
30 December 2002	Spurs	95–96	Knicks	Tim Duncan (31)	19–12
31 December 2002	Spurs	103–105	Wizards	Tim Duncan (35)	19–13
