Driver	Constructor	Laps	Time/Retired	Grid
Ralf Schumacher	Williams - BMW	45	1:18:17.873	2
Rubens Barrichello	Ferrari	45	+46.117	6
Jacques Villeneuve	BAR - Honda	45	+1:02.806	12
Giancarlo Fisichella	Benetton - Renault	45	+1:03.477	17
Jenson Button	Benetton - Renault	45	+1:05.454	18
Jean Alesi	Prost - Acer	45	+1:05.950	14
Olivier Panis	BAR - Honda	45	+1:17.527	13
Enrique Bernoldi	Arrows - Asiatech	44	+1 Lap	19
Jos Verstappen	Arrows - Asiatech	44	+1 Lap	20
Fernando Alonso	Minardi - European	44	+1 Lap	21
Jarno Trulli	Jordan - Honda	34	Hydraulics	10
David Coulthard	McLaren - Mercedes	27	Engine	5
Tarso Marques	Minardi - European	26	Gearbox	22
Juan Pablo Montoya	Williams - BMW	24	Engine	1
Michael Schumacher	Ferrari	23	Fuel Pressure	4
Luciano Burti	Prost - Acer	23	Spun off	16
Kimi Räikkönen	Sauber - Petronas	16	Halfshaft	8
Eddie Irvine	Jaguar - Cosworth	16	Fuel Pressure	11
Mika Häkkinen	McLaren - Mercedes	13	Engine	3
Ricardo Zonta	Jordan - Honda	7	Collision	15
Nick Heidfeld	Sauber - Petronas	0	Collision	7
Pedro de la Rosa	Jaguar - Cosworth	0	Collision	9
