Rank	Building [A ]	City	Country	Height (m)	Height (ft)	Floors	Built
1	Burj Khalifa	Dubai	UAE	828m	2,717ft	163	2010
2	Makkah Royal Clock Tower Hotel	Mecca	Saudi Arabia	601m	1,971ft	120	2012
3	Taipei 101	Taipei	Taiwan	509m	1,670ft	101	2004
4	Shanghai World Financial Center	Shanghai	China	492m	1,614ft	101	2008
5	International Commerce Centre	Hong Kong	Hong Kong	484m	1,588ft	118	2010
6	Petronas Tower 1	Kuala Lumpur	Malaysia	452m	1,483ft	88	1998
6	Petronas Tower 2	Kuala Lumpur	Malaysia	452m	1,483ft	88	1998
8	Zifeng Tower	Nanjing	China	450m	1,476ft	89	2010
10	Kingkey 100	Shenzhen	China	442m	1,449ft	100	2011
11	Guangzhou International Finance Center	Guangzhou	China	440m	1,440ft	103	2010
12	Marina 101	Dubai	UAE	432m	1,417ft	101	2014 [B ]
14	Jin Mao Tower	Shanghai	China	421m	1,380ft	88	1999
15	Princess Tower	Dubai	UAE	414 m	1,358 ft	101	2012
16	Al Hamra Firdous Tower	Kuwait City	Kuwait	413m	1,354ft	77	2011
17	2 International Finance Centre	Hong Kong	Hong Kong	412m	1,352ft	88	2003
18	23 Marina	Dubai	UAE	395m	1,296ft	89	2012
19	CITIC Plaza	Guangzhou	China	391m	1,283ft	80	1997
20	Shun Hing Square	Shenzhen	China	384m	1,260ft	69	1996
21	Central Market Project	Abu Dhabi	UAE	381m	1,251ft	88	2012
22	Elite Residence	Dubai	UAE	380.5m	1,247ft	87	2012
23	Tuntex Sky Tower	Kaohsiung	Taiwan	378m	1,240ft	85	1997
24	Central Plaza	Hong Kong	Hong Kong	374m	1,227ft	78	1992
25	Bank of China Tower	Hong Kong	Hong Kong	367m	1,205ft	70	1990
26	Almas Tower	Dubai	UAE	363m	1,191ft	68	2009
27	The Pinnacle	Guangzhou	China	360m	1,181ft	60	2012
28	SEG Plaza	Shenzhen	China	356m	1,168ft	70	2000
29	JW Marriott Marquis Dubai Tower 1	Dubai	UAE	355m	1,234ft	82	2012
29	JW Marriott Marquis Dubai Tower 2	Dubai	UAE	355m	1,234ft	82	2013
29	Emirates Office Tower	Dubai	UAE	355m	1,163ft	54	2000
32	The Center	Hong Kong	Hong Kong	346m	1,135ft	73	1998
33	Keangnam Hanoi Landmark Tower	Hanoi	Vietnam	345m	1,132ft	72	2011
34	Ahmed Abdul Rahim Al Attar Tower	Dubai	UAE	342m	1,122ft	76	2010 [B ]
35	Hefei Feicui TV Tower	Hefei	China	339m	1,112ft	75	2012
36	Tianjin World Financial Center	Tianjin	China	337m	1,105ft	79	2010
36	The Marina Torch	Dubai	UAE	337m	1,105ft	79	2011
38	Shimao International Plaza	Shanghai	China	333m	1,094ft	61	2005
38	Rose Tower	Dubai	UAE	333m	1,093ft	72	2007
40	Modern Media Center	Changzhou	China	332m	1,089ft	57	2012
41	Minsheng Bank Building	Wuhan	China	331m	1,087ft	68	2007
42	China World Trade Center Tower 3	Beijing	China	330m	1,083ft	74	2009
42	Ryugyong Hotel	Pyongyang	North Korea	330m	1,083ft	105	1992 [C ]
44	The Index	Dubai	UAE	328m	1,076ft	80	2010
44	Al Yaqoub Tower	Dubai	UAE	328m	1,076ft	69	2013 [B ]
44	Longxi International Hotel	Huaxi Village	China	328m	1,076ft	72	2011
46	The Landmark	Abu Dhabi	UAE	324m	1,072ft	72	2012 [B ]
47	Wenzhou World Trade Center	Wenzhou	China	322m	1,056ft	68	2010
48	Burj Al Arab	Dubai	UAE	321m	1,053ft	60	1999
49	Nina Tower	Hong Kong	Hong Kong	319m	1,049ft	80	2007
50	HHHR Tower	Dubai	UAE	317m	1,040ft	72	2010
51	Moi Center	Shenyang	China	311m	1,020ft	75	2012
52	Menara Telekom	Kuala Lumpur	Malaysia	310m	1,017ft	55	2001
52	Ocean Heights	Dubai	UAE	310m	1,017ft	82	2010
52	Sky Tower	Abu Dhabi	UAE	310m	1,017ft	74	2010
52	Pearl River Tower	Guangzhou	China	310m	1,016ft	71	2012
56	Jumeirah Emirates Towers Hotel	Dubai	UAE	309m	1,014ft	56	2000
57	Infinity Tower	Dubai	UAE	306m	1,005ft	76	2012
57	East Pacific Center Tower A	Shenzhen	China	306m	1,004ft	85	2012
57	The Address Downtown Burj Khalifa	Dubai	UAE	306m	1,004ft	63	2008
60	Etihad Tower 2	Abu Dhabi	UAE	305m	1,002ft	79	2011
60	Northeast Asia Trade Tower	Incheon	South Korea	305m	1,001ft	68	2010
62	Baiyoke Tower II	Bangkok	Thailand	304m	997ft	85	1997
63	Moi City	Wuxi	China	303m	994ft	72	2012
63	Leatop Plaza	Guangzhou	China	303m	993ft	65	2011
65	Kingdom Centre	Riyadh	Saudi Arabia	302m	992ft	41	2002
65	Gate of the Orient	Suzhou	China	302m	990ft	68	2012
67	We've the Zenith Tower A	Busan	South Korea	301m	987ft	80	2011
68	Aspire Tower	Doha	Qatar	300m	984ft	36	2007
68	Arraya 2	Kuwait City	Kuwait	300m	984ft	60	2009
71	One Island East	Hong Kong	Hong Kong	298m	979ft	67	2008
72	Shanghai Wheelock Square	Shanghai	China	298m	978ft	58	2009
73	Yokohama Landmark Tower	Yokohama	Japan	296m	972ft	73	1993
73	Emirates Crown	Dubai	UAE	296m	971ft	63	2008
75	Islamic Bank Office Tower	Dubai	UAE	294m	964ft	49	2011
75	Khalid Al Attar Tower 2	Dubai	UAE	294m	964ft	61	2010
77	Haeundae I Park Marina Tower 2	Busan	South Korea	292m	959ft	72	2012
78	Global Trade Plaza	Dongguan	China	289m	948ft	68	2010 [B ]
79	Plaza 66 Tower One	Shanghai	China	288m	945ft	66	2001
80	Chongqing Poly Tower	Chongqing	China	287m	941ft	58	2010 [B ]
81	SPG Global Tower 1	Suzhou	China	286m	938ft	54	2010
82	SPG Global Tower 2	Suzhou	China	286m	938ft	54	2010 [B ]
83	Yingli Tower	Chongqing	China	285m	936ft	65	2012
83	Millennium Tower	Dubai	UAE	285m	935ft	60	2006
83	Sulafa Tower	Dubai	UAE	285m	935ft	75	2010
83	Tomorrow Square	Shanghai	China	285m	934ft	55	2003
87	D1	Dubai	UAE	284m	932ft	80	2012
88	Chongqing World Trade Center	Chongqing	China	283m	929ft	60	2005
88	Cheung Kong Centre	Hong Kong	Hong Kong	283m	928ft	62	1999
90	We've the Zenith Tower B	Busan	South Korea	282m	924ft	75	2011
91	OUB Centre	Singapore	Singapore	280m	919ft	66	1986
91	UOB Plaza One	Singapore	Singapore	280m	919ft	66	1992
91	Republic Plaza	Singapore	Singapore	280m	919ft	66	1996
91	Marina Pinnacle	Dubai	UAE	280m	919ft	73	2010
95	Seoul International Financial Center	Seoul	South Korea	279m	916ft	55	2012
95	Greenland Plaza	Zhengzhou	China	279m	915ft	56	2012
97	Hong Kong New World Tower	Shanghai	China	278m	913ft	61	2002
97	Trust Tower	Abu Dhabi	UAE	278m	912ft	60	2010 [B ]
97	Etihad Tower 1	Abu Dhabi	UAE	278m	911ft	70	2011
100	Diwang International Commerce Center	Nanning	China	276m	906ft	54	2006
101	Nantong Zhongnan International Plaza	Nantong	China	273m	897ft	53	2011
101	Wuhan World Trade Tower	Wuhan	China	273m	896ft	58	1998
101	Lvjing Tower	Shenzhen	China	273m	896ft	56	2011
101	Shimao International Center	Fuzhou	China	273m	896ft	56	2012
101	Haeundae I Park Marina Tower 1	Busan	South Korea	273m	895ft	66	2011
106	United International	Chongqing	China	271m	889ft	68	2012
107	The Cullinan South Tower	Hong Kong	Hong Kong	270m	886ft	68	2008
107	The Cullinan North Tower	Hong Kong	Hong Kong	270m	886ft	68	2008
107	China International Center Tower B	Guangzhou	China	270m	886ft	62	2007
110	Dapeng International Plaza	Guangzhou	China	269m	884ft	56	2006
110	One Lujiazui	Shanghai	China	269m	883ft	47	2008
110	JAL Hotel	Dubai	UAE	269m	883ft	60	2008
110	21st Century Tower	Dubai	UAE	269m	883ft	55	2003
110	Bitexco Financial Tower	Ho Chi Minh City	Vietnam	269m	882ft	68	2010
115	Bank of Guangzhou Tower	Guangzhou	China	268m	878ft	57	2012
116	Al Faisaliyah Center	Riyadh	Saudi Arabia	267m	876ft	44	2000
116	Lotte Center Hanoi	Hanoi	Vietnam	267m	876ft	65	2013
118	Fortune Center Phase 3	Beijing	China	266m	874ft	56	2012
119	The River	Bangkok	Thailand	265m	871ft	73	2012
120	Al Kazim Tower 1	Dubai	UAE	265m	869ft	53	2008
120	Al Kazim Tower 2	Dubai	UAE	265m	869ft	53	2008
120	Bocom Financial Towers	Shanghai	China	265m	869ft	52	2002
120	We've the Zenith Tower C	Busan	South Korea	265m	869ft	70	2011
120	WBC The Palace Towers Tower 1	Busan	South Korea	265m	869ft	71	2010
120	WBC The Palace Towers Tower 2	Busan	South Korea	265m	869ft	71	2010
126	Samsung Tower Palace 3, Tower G	Seoul	South Korea	264m	865ft	73	2004
127	Grand Gateway Shanghai I	Shanghai	China	262m	859ft	52	2005
127	Grand Gateway Shanghai II	Shanghai	China	262m	859ft	52	2005
129	East Pacific Center Tower B	Shenzhen	China	261m	856ft	72	2012
129	Sapphire of Istanbul	Istanbul	Turkey	261m	856ft	54	2010
129	Grand Lisboa	Macau	China	261m	856ft	47	2008
129	The Masterpiece	Hong Kong	Hong Kong	261m	856ft	64	2007
130	Islamic Bank Residential Tower	Dubai	UAE	261m	856ft	51	2011
134	Etihad Tower 3	Abu Dhabi	UAE	260m	854ft	62	2011
134	Vision Tower	Dubai	UAE	260m	853ft	60	2010
134	Shanghai IFC North Tower	Shanghai	China	260m	853ft	60	2011
134	Jing'an Kerry Center Phase 2	Shanghai	China	260m	853ft	58	2012
134	Sunny World Center	Shenyang	China	260m	853ft	59	2012
134	Bahrain Financial Harbour 1	Manama	Bahrain	260m	853ft	53	2007
134	Bahrain Financial Harbour 2	Manama	Bahrain	260m	853ft	53	2007
134	Abraj Al Bait Hajar Tower	Mecca	Saudi Arabia	260m	853ft	48	2012
134	Abraj Al Bait ZamZam Tower	Mecca	Saudi Arabia	260m	853ft	48	2012
134	Shenzhen Special Zone Press Tower	Shenzhen	China	260m	853ft	48	1998
144	PBCOM Tower	Makati	Philippines	259m	850ft	55	2000
145	Huamin Imperial Tower	Shanghai	China	258m	847ft	63	2011
145	Lanko·Grand Hyatt Hotel	Chongqing	China	258m	846ft	60	2004
145	Tianjin Hutchinson Whampoa Metro Plaza	Tianjin	China	258m	846ft	53	2012
148	Sorrento 1	Hong Kong	Hong Kong	256m	841ft	75	2003
148	The Harbour Hotel & Residence	Dubai	UAE	256m	840ft	59	2007
148	Ubora Tower 1	Dubai	UAE	256m	840ft	59	2007
148	Hyperion Tower A	Seoul	South Korea	256m	840ft	69	2003
148	Rinku Gate Tower Building	Izumisano	Japan	256m	840ft	56	1996
154	New Century Plaza Tower A	Nanjing	China	255m	837ft	52	2006
154	Langham Place Office Tower	Hong Kong	Hong Kong	255m	837ft	59	2004
154	Conrad Hotel	Dubai	UAE	255m	837ft	51	2012
154	The Imperial I	Mumbai	India	254m	833ft	60	2009
154	The Imperial II	Mumbai	India	254m	833ft	60	2009
159	Capital Tower	Singapore	Singapore	253m	830ft	52	2000
160	Highcliff	Hong Kong	Hong Kong	252m	828ft	72	2003
160	Bank of Shanghai Headquarters	Shanghai	China	252m	827ft	46	2005
160	Osaka World Trade Center Building	Osaka	Japan	252m	827ft	55	1995
163	The Harbourside	Hong Kong	Hong Kong	251m	824ft	73	2003
163	Jiali Plaza	Wuhan	China	251m	823ft	61	1997
165	The Gramercy Residences	Makati	Philippines	250m	820ft	73	2012
165	The Gate Tower 1	Abu Dhabi	UAE	250m	820ft	65	2012
165	The Gate Tower 2	Abu Dhabi	UAE	250m	820ft	65	2012
165	The Gate Tower 3	Abu Dhabi	UAE	250m	820ft	65	2012
165	The Knightsbridge Residences	Makati	Philippines	250m	820ft	68	2012
165	Angsana Hotel Tower 1	Dubai	UAE	250m	820ft	49	2008
165	Angsana Hotel Tower 2	Dubai	UAE	250m	820ft	49	2008
165	Beijing Yintai Centre Tower 2	Beijing	China	250m	820ft	63	2007
165	Chelsea Tower	Dubai	UAE	250m	820ft	49	2005
165	Wisma 46	Jakarta	Indonesia	250m	820ft	48	1996
165	Post & Telecommunication Hub	Guangzhou	China	250m	820ft	66	2003
165	Ahmed Khoory Tower	Dubai	UAE	250m	820ft	60	2012
165	International Hainan Airlines Plaza	Haikou	China	250m	819ft	54	2012
178	Cathay Pacific Plaza 1	Ordos	China	249m	817ft	55	2012
178	Cathay Pacific Plaza 2	Ordos	China	249m	817ft	55	2012
178	Al Tayer Tower	Dubai	UAE	249m	817ft	49	2009
178	63 Building	Seoul	South Korea	249m	817ft	60	1985
178	Metapolis 101	Hwaseong City	South Korea	249m	817ft	66	2010
183	Midtown Tower	Tokyo	Japan	248m	814ft	54	2007
184	Midland Square	Nagoya	Japan	247m	810ft	47	2007
184	Metapolis 104	Hwaseong City	South Korea	247m	810ft	66	2010
186	State Tower	Bangkok	Thailand	247m	810ft	68	2001
186	Kai Yuen World Center	Shijiazhuang	China	246m	808ft	53	2012
186	Stock Exchange Plaza	Shenzhen	China	246m	807ft	51	2012
186	Qingdao International Trade Center 1	Qingdao	China	246m	806ft	50	2012
186	Qingdao International Trade Center 2	Qingdao	China	246m	806ft	50	2012
190	AVIC Plaza	Shenzhen	China	245m	804ft	52	2012
190	JR Central Towers	Nagoya	Japan	245m	804ft	51	2007
190	Oasis Beach Tower	Dubai	UAE	245m	804ft	51	2006
190	Al Fattan Tower	Dubai	UAE	245m	804ft	51	2006
190	Churchill Residency	Dubai	UAE	245m	804ft	59	2010
190	One Raffles Quay	Singapore	Singapore	245m	804ft	59	2006
190	The Sail @ Marina Bay	Singapore	Singapore	245m	804ft	59	2000
