Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
34	January 1	Memphis	W 98–92 (OT)	Paul Millsap (22)	Paul Millsap (10)	Earl Watson (6)	EnergySolutions Arena 19,732	23–11
35	January 3	Detroit	W 102–97 (OT)	Deron Williams (22)	Paul Millsap (10)	Deron Williams (10)	EnergySolutions Arena 19,911	24–11
36	January 5	Atlanta	L 87–110 (OT)	Andrei Kirilenko , Deron Williams (19)	Al Jefferson (7)	Deron Williams (9)	EnergySolutions Arena 19,911	24–12
37	January 7	@ Memphis	L 99–110 (OT)	Paul Millsap (20)	Al Jefferson (13)	Deron Williams (6)	FedExForum 14,781	24–13
38	January 8	@ Houston	W 103–99 (OT)	Paul Millsap (27)	Al Jefferson (13)	Deron Williams (15)	Toyota Center 16,113	25–13
39	January 12	New York	W 131–125 (OT)	C. J. Miles , Deron Williams (24)	Paul Millsap (8)	Deron Williams (12)	EnergySolutions Arena 19,911	26–13
40	January 14	Cleveland	W 121–99 (OT)	Deron Williams (26)	Al Jefferson , Mehmet Okur (7)	Deron Williams (9)	EnergySolutions Arena 19,911	27–13
41	January 17	@ Washington	L 101–108 (OT)	Deron Williams (28)	Al Jefferson (10)	Deron Williams (11)	Verizon Center 14,925	27–14
42	January 19	@ New Jersey	L 95–103 (OT)	Al Jefferson (21)	Al Jefferson , Andrei Kirilenko (8)	Deron Williams (10)	Prudential Center 13,251	27–15
43	January 21	@ Boston	L 86–110 (OT)	Earl Watson (12)	Andrei Kirilenko (7)	Deron Williams (6)	TD Garden 18,624	27–16
44	January 22	@ Philadelphia	L 85–96 (OT)	Deron Williams (20)	Al Jefferson (13)	Deron Williams (14)	Wells Fargo Center 14,036	27–17
45	January 25	@ L.A. Lakers	L 91–120 (OT)	Deron Williams (17)	Al Jefferson (9)	Deron Williams (8)	Staples Center 18,997	27–18
46	January 26	San Antonio	L 105–112 (OT)	Deron Williams (39)	Al Jefferson (9)	Deron Williams (9)	EnergySolutions Arena 19,911	27–19
47	January 28	Minnesota	W 108–100 (OT)	Paul Millsap (30)	Al Jefferson (14)	Earl Watson (13)	EnergySolutions Arena 19,911	28–19
48	January 30	@ Golden State	L 81–96 (OT)	Al Jefferson (16)	Al Jefferson (14)	Paul Millsap (6)	Oracle Arena 18,187	28–20
