Tournament	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	LQ	A	A	2R	2R	2R
French Open	1R	1R	1R	1R	1R	3R
Wimbledon	LQ	A	Q1	1R	1R	1R
US Open	Q1	LQ	Q2	1R	1R	1R
Win–Loss	0–1	0–1	0–1	1–4	1–4	3–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	NH	A	Not Held	Not Held	Not Held	2R
Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles	Davis Cup Singles
Americas Zone Group I	A	A	2R	2R	1R	2R
World Group	A	A	A	PO	A	A
Win–Loss	0–0	0–0	1–1	3–1	2–1	3–1
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	2R	1R	A	2R	3R
Miami Masters	A	1R	LQ	2R	1R	2R
Monte Carlo Masters	A	A	A	A	1R	A
Rome Masters	A	A	A	3R	1R	1R
Hamburg Masters	A	A	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series
Canada Masters	LQ	A	LQ	1R	A	A
Cincinnati Masters	A	A	LQ	1R	A	1R
Madrid Masters	A	A	A	2R	2R	1R
Shanghai Masters	NMS	NMS	A	LQ	3R	A
Paris Masters	A	A	A	2R	1R	A
Win–Loss	0–0	1–2	0–1	5–6	4–7	3–5
ATP World Tour 500 series	ATP World Tour 500 series	ATP World Tour 500 series	ATP World Tour 500 series	ATP World Tour 500 series	ATP World Tour 500 series	ATP World Tour 500 series
Acapulco	A	A	A	A	QF	SF
Barcelona	A	A	A	A	3R	3R
Hamburg	HMS	HMS	A	A	1R	A
Washington	1R	A	1R	1R	A	A
China	A	A	A	A	A	A
Tokyo	A	A	A	1R	QF	A
Basel	A	A	A	2R	1R	A
Valencia	A	A	A	A	A	A
Win–Loss	0–1	0–0	0–1	1–3	5–5	5–2
ATP World Tour 250 series	ATP World Tour 250 series	ATP World Tour 250 series	ATP World Tour 250 series	ATP World Tour 250 series	ATP World Tour 250 series	ATP World Tour 250 series
Chennai	1R	A	A	QF	A	A
Brisbane	A	A	A	A	QF	QF
Auckland	A	A	A	A	SF	2R
Montpellier	A	1R	A	A	NH	A
Viña del Mar	A	A	A	A	F	1R
São Paulo	A	A	A	A	1R	1R
San Jose	A	A	A	1R	A	A
Delray Beach	A	A	A	2R	A	A
Bucharest	A	A	A	A	A	A
Estoril	A	A	A	2R	A	A
Munich	A	A	A	A	A	2R
Nice	Not Held	Not Held	Not Held	A	A	A
London	A	A	A	2R	A	A
Rosmalen	A	A	A	QF	QF	1R
Newport	A	A	A	2R	A	A
Stuttgart	A	1R	A	A	QF	A
Bogotá	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held
Atlanta	1R	A	A	A	A	A
Gstaad	A	A	A	A	2R	2R
Kitzbühel	A	1R	A	A	QF	A
Winston-Salem	A	A	A	A	3R	2R
Bangkok	A	A	A	A	2R	A
Kuala Lumpur	A	A	A	A	2R	A
Stockholm	A	A	A	A	A	A
Vienna	A	2R	A	2R	A	A
Win–Loss	0–2	1–4	0–0	9–8	20–11	6–8
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	0–0	0–0	0–0	0–0	0–1	0–0
Year End Ranking	538	163	107	64	55	57
