Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2010	Formula BMW Europe	Josef Kaufmann Racing	16	0	0	1	2	174	7th
2010	Formula BMW Pacific	Motaworld Racing	2	0	0	0	0	0	NC†
2010	Formula Abarth	Prema Junior	6	3	1	1	3	76	6th
2011	FIA Formula 3 International Trophy	Van Amersfoort Racing	4	0	0	0	0	0	NC†
2011	FIA Formula 3 International Trophy	Hitech Racing	4	0	0	0	0	0	NC†
2011	German Formula Three Championship	Van Amersfoort Racing	18	0	2	1	5	61	5th
2011	British Formula Three Championship	Van Amersfoort Racing	3	0	0	1	0	0	NC†
2011	Austria Formel 3 Cup	Van Amersfoort Racing	2	1	2	2	2	35	10th
2011	Macau Grand Prix	Hitech Racing	1	0	0	0	0	N/A	5th
2012	Toyota Racing Series	Giles Motorsport	15	3	2	3	7	738	2nd
