Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Winner	1979	US Open	Hard	Vitas Gerulaitis	7–5, 6–3, 6–3
Runner-up	1980	Wimbledon	Grass	Björn Borg	6–1, 5–7, 3–6, 7–6 (18–16) , 6–8
Winner	1980	US Open (2)	Hard	Björn Borg	7–6 (7–4) , 6–1, 6–7 (5–7) , 5–7, 6–4
Winner	1981	Wimbledon	Grass	Björn Borg	4–6, 7–6 (7–1) , 7–6 (7–4) , 6–4
Winner	1981	US Open (3)	Hard	Björn Borg	4–6, 6–2, 6–4, 6–3
Runner-up	1982	Wimbledon (2)	Grass	Jimmy Connors	6–3, 3–6, 7–6 (7–2) , 6–7 (5–7) , 4–6
Winner	1983	Wimbledon (2)	Grass	Chris Lewis	6–2, 6–2, 6–2
Runner-up	1984	French Open	Clay	Ivan Lendl	6–3, 6–2, 4–6, 5–7, 5–7
Winner	1984	Wimbledon (3)	Grass	Jimmy Connors	6–1, 6–1, 6–2
Winner	1984	US Open (4)	Hard	Ivan Lendl	6–3, 6–4, 6–1
