Tournament	1990	1991	1992	1993	1994	1995	1996	1997	1998	Career SR	Career Win-Loss
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	1R	1R	QF	2R	QF	1R	1R	3R	1R	0 / 11	12–11
French Open	1R	QF	2R	2R	3R	1R	1R	2R	A	0 / 12	13–12
Wimbledon	2R	3R	1R	1R	QF	1R	3R	2R	1R	0 / 11	12–11
U.S. Open	A	1R	3R	3R	QF	2R	2R	1R	A	0 / 8	9–8
Grand Slam SR	0 / 3	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 2	0 / 42	N/A
Annual Win-Loss	2–3	5–4	6–4	4–4	11–4	1–4	3–4	4–4	0–2	N/A	46–42
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	1R	A	A	A	1R	A	A	0 / 2	0–2
Miami	1R	1R	3R	2R	2R	2R	1R	1R	2R	0 / 9	2–9
Monte Carlo	A	1R	SF	1R	1R	SF	1R	A	A	0 / 6	5–6
Rome	1R	1R	1R	1R	1R	1R	1R	1R	A	0 / 8	0–8
Hamburg	1R	QF	SF	1R	QF	1R	2R	A	A	0 / 7	5–7
Canada	A	A	A	A	A	A	A	A	A	0 / 0	0–0
Cincinnati	A	A	A	A	A	A	A	A	A	0 / 0	0–0
Stuttgart (Stockholm)	1R	F	QF	QF	2R	A	A	A	A	0 / 5	6–5
Paris	A	1R	QF	F	2R	A	A	A	A	0 / 4	6–4
Masters Series SR	0 / 4	0 / 6	0 / 7	0 / 6	0 / 6	0 / 4	0 / 5	0 / 2	0 / 1	0 / 41	N/A
Annual Win-Loss	0–4	5–6	8–7	5–6	1–6	4–4	1–5	0–2	0–1	N/A	24–41
Year End Ranking	53	23	18	25	28	74	79	96	313	N/A	N/A
