Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1948	Noel B. Radford	Betty Uber	R. C. Allen / E. S. Irwin	Betty Uber / Queenie Allen	Noel B. Radford / Betty Uber
1950	K. C. Brann	F. Mckenzie	K. C. Brann / R. C. Allen	B. Bayne / F. Mckenzie	K. Brann / F. Mckenzie
1952	K. C. Brann	J. Palmer	K. C. Brann / R. J. Kidd	June Wheating / D. Moir	K. Brann / June Wheating
1953	K. C. Brann	June Wheating	K. C. Brann / R. C. Allen	B. Bayne / F. Kennedy	K. Brann / June Wheating
1955	C. J. Read	B. Mare	B. Brownlee / D. Anderson	B. Bayne / F. Kennedy	C. Read / B. Mare
1956	C. J. Read	M. Flynn	C. Read / R. du Plessis	B. Bayne / M. Perrin	C. Read / C. Jackson
1957	G. Byram	D. Webber	G. Byram / D. Anderson	D. Webber / M. Perrin	G. Byram / J. Byram
1958	G. Byram	D. Webber	H. Meyer / J. van der Meulen	D. Webber / M. Perrin	G. Byram / J. Byram
1959	Alan Parsons	Heather Ward	H. Meyer / D. Powell	Heather Ward / Barbara Carpenter	D. Powell / K. Buckle
1960	C. Bartlett	M. Flynn	C. Read / D. Powell	M. Flynn / K. Buckle	D. Powell / K. Buckle
1961	C. J. Read	K. Buckle	H. Meyer / C. Bartlett	M. Flynn / K. Buckle	Alan Parsons / J. Monteath
1962	D. Powell	M. Flynn	Alan Parsons / D. Powell	F. Kennedy / J. Monteath	Alan Parsons / J. Monteath
1963	C. Bartlett	J. Byram	P. Griffin / C. Bartlett	S. Bartlett / J. Greener	C. Bartlett / K. Stravidis
1964	Alan Parsons	W. Prade	Alan Parsons / Wiliam Kerr	M. Harris / L. Marshall	Wiliam Kerr / J. Monteath
1965	Alan Parsons	Ursula Smith	Alan Parsons / Wiliam Kerr	Ursula Smith / Jennifer Pritchard	Alan Parsons / W. Prade
1966	Alan Parsons	W. Prade	Alan Parsons / Wiliam Kerr	W. Prade / A. Smith	Alan Parsons / W. Prade
1967	Alan Parsons	Irmgard Latz	Alan Parsons / Wiliam Kerr	Marieluise Wackerow / Irmgard Latz	W. Lightbody / H. Boltman
1968	Alan Parsons	Heather Ward Nielsen	Alan Parsons / Wiliam Kerr	W. Prade / A. Smith	Alan Parsons / W. Prade
1969	Alan Parsons	Gillian Perrin	Kenneth Parsons / R. du Toit	Margaret Boxall / Susan Whetnall	Derek Talbot / Gillian Perrin
1970	Alan Parsons	W. Prade	Alan Parsons / Wiliam Kerr	Alan Parsons / W. Prade	B. Clark / A. Clark
1971	Alan Parsons	Pam Stockton	Donald C. Paup / Chris Kinard	Pam Stockton / Caroline Hein	Alan Parsons / W. Prade
1972	Klaus Kaagaard	Deirdre Tyghe	Kenneth Parsons / R. du Toit	Deirdre Tyghe / Marianne van der Walt	Wiliam Kerr / Deirdre Tyghe
1973	Wiliam Kerr	Deirdre Tyghe	Alan Parsons / Wiliam Kerr	Deirdre Tyghe / Marianne van der Walt	Wiliam Kerr / Deirdre Tyghe
1974	Wiliam Kerr	Deirdre Tyghe	Alan Parsons / Wiliam Kerr	Joke van Beusekom / Marjan Luesken	Wiliam Kerr / Deirdre Tyghe
1975	Paul Whetnall	Deirdre Tyghe	Paul Whetnall / Ray Stevens	Sue Whetnall / Barbara Giles	Paul Whetnall / Susan Whetnall
1976	Ray Stevens	Margaret Lockwood	Mike Tredgett / Ray Stevens	Nora Gardner / Margaret Lockwood	Mike Tredgett / Nora Gardner
