Week of	Tier	Winner	Runner-up	Semi finalists
1 May	Tier II	Conchita Martínez 6–1, 6–0	Martina Hingis	Anke Huber Magdalena Maleeva
1 May	Tier II	Gigi Fernández Martina Hingis 6–2, 6–3	Conchita Martínez Patricia Tarabini	Anke Huber Magdalena Maleeva
8 May	Tier IV	Julie Halard 6–4, 6–4	Ludmila Richterová	Katarína Studeníková Stephanie Rottier
8 May	Tier IV	Linda Harvey-Wild Chanda Rubin 6–7, 6–3, 6–2	Maria Lindström Maria Strandlund	Katarína Studeníková Stephanie Rottier
8 May	Tier I	Conchita Martínez 6–3, 6–1	Arantxa Sánchez Vicario	Helena Suková Mary Pierce
8 May	Tier I	Gigi Fernández Natalia Zvereva 3–6, 7–6, 6–4	Conchita Martínez Patricia Tarabini	Helena Suková Mary Pierce
15 May	Tier I	Arantxa Sánchez Vicario 6–4, 6–1	Magdalena Maleeva	Irina Spîrlea Natalia Zvereva
15 May	Tier I	Amanda Coetzer Inés Gorrochategui 4–6, 7–6, 6–2	Larisa Savchenko Gabriela Sabatini	Irina Spîrlea Natalia Zvereva
15 May	Tier IV	Ludmila Richterová 6–7, 6–4, 6–3	Patricia Hy-Boulais	Lindsay Lee Åsa Carlsson
15 May	Tier IV	Mariaan de Swardt Ruxandra Dragomir 6–3, 7–5	Kerry-Anne Guse Patricia Hy-Boulais	Lindsay Lee Åsa Carlsson
22 May	Tier III	Lindsay Davenport 3–6, 6–1, 6–2	Kimiko Date	Sandrine Testud Yone Kamio
22 May	Tier III	Lindsay Davenport Mary Joe Fernández 6–2, 6–3	Sabine Appelmans Miriam Oremans	Sandrine Testud Yone Kamio
29 May 2 weeks	Grand Slam	Steffi Graf 7–5, 4–6, 6–0	Arantxa Sánchez Vicario	Kimiko Date Conchita Martínez
29 May 2 weeks	Grand Slam	Gigi Fernández Natalia Zvereva 6–7(6), 6–4, 7–5	Jana Novotná Arantxa Sánchez Vicario	Kimiko Date Conchita Martínez
