Player	Int'l Debut	Year	Cross Code Debut	Date
Anthony Starks	RU Test v Wales	1896	RL Test v Other Nationalities	5 April 1904
George Marsden	RU Test v Wales	1900	RL Test v Other Nationalities	2 Jan 1905
Alf Wood	RU Test v France	1 January 1908	2nd Ashes Test v Australia	16 Dec 1911
Thomas "Tommy" Woods	RU Test v Scotland	1908	2nd Ashes Test v Australia	16 Dec 1911
Dave Holland	RU Test v Wales	1912	1st RL Test GB v Australia	27 June 1914
Jim Brough	RU Test v New Zealand	1925	RL Test v Wales	12 Apr 1926
Thomas Holliday	RU Test v Scotland	1923	RL Test v Wales	11 Jan 1928
Thompson "Tom" Danby	RU Test v Wales	1949	RL Test v Wales	1 Mar 1950
Ray French	RU Test v Wales	1961	RL Test GB v France	11 Feb 1968
Bev Risman	1st RU Test v Wales	1959	RLWC GB v Australia	25 May 1968
Keith Fielding	1st RU Test v Ireland	1969	RLWC v France	19 Jan 1975
Mike Coulman	1st RU Test v Australia	1967	RLWC v Wales	10 June 1975
Keith Smith	RU Test v France	1974	RL Test v Wales	16 Mar 1979
Peter Williams	1st RU Test v Scotland	1987	1st RL Test v France	21 Jan 1989
John Bentley	1st RU Test v Ireland	1988	1st RL Test v France	8 Feb 1992
Barrie-Jon Mather	RL Test v France	1994	RU Test v Wales	11 Apr 1999
Jason Robinson	1st RL Test v New Zealand	1993	RU Test v Italy	17 Feb 2001
Andy Farrell	3rd RL Test v New Zealand	1993	RU Test v Scotland	3 Feb 2007
Chris Ashton	RL Test v France	2006	RU Test v France	20 Mar 2010
Kyle Eastmond	RL Test v Wales	2009	RU Test v Argentina	8 Jun 2013
