Date	Opponent	Score	Loss	Record
September 1	White Sox	10–2	Peters (15–8)	77–59
September 2	White Sox	4–1	Lonborg (18–7)	77–60
September 3	White Sox	4–0	Stange (8–9)	77–61
September 4	@ Senators	5–2	Morehead (4–3)	77–62
September 4	@ Senators	6–4	Lines (1–5)	78–62
September 5	@ Senators	8–2	Bertaina (4–5)	79–62
September 7	Yankees	3–1	Stottlemyre (14–12)	80–62
September 8	Yankees	5–2	Stange (8–10)	80–63
September 9	Yankees	7–1	Barber (9–16)	81–63
September 10	Yankees	9–1	Downing (13–9)	82–63
September 12	Athletics	3–1	Hunter (11–15)	83–63
September 13	Athletics	4–2	Aker (3–8)	84–63
September 15	Orioles	6–2	Morehead (5–4)	84–64
September 16	Orioles	4–1	Lonborg (20–8)	84–65
September 17	Orioles	5–2	Bell (12–12)	84–66
September 18	@ Tigers	6 – 5 (10)	Marshall (1–3)	85–66
September 19	@ Tigers	4–2	Lolich (11–13)	86–66
September 20	@ Indians	5–4	Culver (7–3)	87–66
September 21	@ Indians	6–5	Hargan (14–13)	88–66
September 22	@ Orioles	10–0	Stephenson (3–1)	88–67
September 22	@ Orioles	10–3	Richert (9–16)	89–67
September 23	@ Orioles	7–5	Wyatt (10–7)	89–68
September 24	@ Orioles	11–7	Phoebus (14–9)	90–68
September 26	Indians	6–3	Bell (13–13)	90–69
September 27	Indians	6–0	Lonborg (21–9)	90–70
September 30	Twins	6–4	Kline (7–1)	91–70
