Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification
1	HTC-Highroad	Marco Pinotti	not awarded	not awarded	Bjørn Selander
2	Alessandro Petacchi	Mark Cavendish	Alessandro Petacchi	Sebastian Lang	Bjørn Selander
3	Ángel Vicioso	David Millar	Alessandro Petacchi	Gianluca Brambilla	Jan Bakelants
4	Stage neutralised	David Millar	Alessandro Petacchi	Gianluca Brambilla	Jan Bakelants
5	Pieter Weening	Pieter Weening	Alessandro Petacchi	Martin Kohler	Steven Kruijswijk
6	Francisco Ventoso	Pieter Weening	Alessandro Petacchi	Martin Kohler	Steven Kruijswijk
7	Bart De Clercq	Pieter Weening	Alessandro Petacchi	Bart De Clercq	Steven Kruijswijk
8	Oscar Gatto	Pieter Weening	Alessandro Petacchi	Bart De Clercq	Steven Kruijswijk
9	Alberto Contador José Rujano	Alberto Contador Kanstantsin Sivtsov	Alberto Contador Alessandro Petacchi	Filippo Savini	Roman Kreuziger
10	Mark Cavendish	Alberto Contador Kanstantsin Sivtsov	Alessandro Petacchi	Filippo Savini	Roman Kreuziger
11	John Gadret	Alberto Contador Kanstantsin Sivtsov	Alessandro Petacchi	Filippo Savini	Roman Kreuziger
12	Mark Cavendish	Alberto Contador Kanstantsin Sivtsov	Alessandro Petacchi	Filippo Savini	Roman Kreuziger
13	José Rujano	Alberto Contador Vincenzo Nibali	Alberto Contador Roberto Ferrari	Alberto Contador José Rujano	Roman Kreuziger
14	Igor Antón	Alberto Contador Vincenzo Nibali	Alberto Contador Michele Scarponi	Alberto Contador José Rujano	Roman Kreuziger
15	Mikel Nieve	Alberto Contador Michele Scarponi	Alberto Contador Michele Scarponi	Stefano Garzelli	Roman Kreuziger
16	Alberto Contador Vincenzo Nibali	Alberto Contador Michele Scarponi	Alberto Contador Michele Scarponi	Stefano Garzelli	Roman Kreuziger
17	Diego Ulissi	Alberto Contador Michele Scarponi	Alberto Contador Michele Scarponi	Stefano Garzelli	Roman Kreuziger
18	Eros Capecchi	Alberto Contador Michele Scarponi	Alberto Contador Michele Scarponi	Stefano Garzelli	Roman Kreuziger
19	Paolo Tiralongo	Alberto Contador Michele Scarponi	Alberto Contador Michele Scarponi	Stefano Garzelli	Roman Kreuziger
20	Vasil Kiryienka	Alberto Contador Michele Scarponi	Alberto Contador Michele Scarponi	Stefano Garzelli	Roman Kreuziger
21	David Millar	Alberto Contador Michele Scarponi	Alberto Contador Michele Scarponi	Stefano Garzelli	Roman Kreuziger
