District	Incumbent	Party	First elected	Result	Candidates
New York 1	Tim Bishop	Democratic	2002	Re-elected	Tim Bishop (D) 50.2% Randy Altschuler (R) 49.8%
New York 3	Peter King	Republican	1992	Re-elected	Peter King (R) 72.0% Howard Kudler (D) 28.0%
New York 4	Carolyn McCarthy	Democratic	1996	Re-elected	Carolyn McCarthy (D) 53.6% Fran Becker (R) 46.4%
New York 6	Gregory Meeks	Democratic	1998	Re-elected	Gregory Meeks (D) 87.8% Asher Taub (R) 12.2%
New York 8	Jerrold Nadler	Democratic	1992	Re-elected	Jerrold Nadler (D) 75.5% Susan Kone (R) 24.5%
New York 9	Anthony Weiner	Democratic	1998	Re-elected	Anthony Weiner (D) 60.8% Bob Turner (R) 39.2%
New York 11	Yvette Clarke	Democratic	2006	Re-elected	Yvette Clarke (D) 90.6% Hugh Carr (R) 9.4%
New York 16	Jose Serrano	Democratic	1990	Re-elected	Jose Serrano (D) 96.3% Frank Della Valle (R) 3.7%
New York 18	Nita Lowey	Democratic	1988	Re-elected	Nita Lowey (D) 62.2% James Russell (R) 37.8%
New York 19	John Hall	Democratic	2006	Lost re-election Republican gain	Nan Hayworth (R) 52.7% John Hall (D) 47.3%
New York 20	Scott Murphy	Democratic	2009	Lost re-election Republican gain	Chris Gibson (R) 54.9% Scott Murphy (D) 45.1%
New York 21	Paul Tonko	Democratic	2008	Re-elected	Paul Tonko (D) 59.3% Theodore Danz (R) 40.7%
New York 24	Mike Arcuri	Democratic	2006	Lost re-election Republican gain	Richard L. Hanna (R) 53.1% Mike Arcuri (D) 46.9%
New York 25	Dan Maffei	Democratic	2008	Lost re-election Republican gain	Ann Marie Buerkle (R) 50.2% Dan Maffei (D) 49.8%
New York 26	Chris Lee	Republican	2008	Re-elected	Chris Lee (R) 73.6% Philip Fedele (D) 26.4%
New York 27	Brian Higgins	Democratic	2004	Re-elected	Brian Higgins (D) 60.9% Leonard Roberto (R) 39.1%
New York 28	Louise Slaughter	Democratic	1986	Re-elected	Louise Slaughter (D) 64.9% Jill Rowland (R) 35.1%
