Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Feb 2	MasterCard Championship	Hawaii	1500000	Dana Quigley (8)	198 (-18)	250000
Feb 9	Royal Caribbean Golf Classic	Florida	1450000	Dave Barr (1)	207 (-9)	217500
Feb 16	ACE Group Classic	Florida	1600000	Vicente Fernandez (4)	202 (-14)	240000
Feb 23	Verizon Classic	Florida	1600000	Bruce Fleisher (16)	205 (-8)	240000
Mar 9	MasterCard Classic	Mexico	2000000	David Eger (1)	204 (-12)	300000
Mar 16	SBC Classic	California	1500000	Tom Purtzer (1)	135 (-9)	225000
Mar 23	Toshiba Senior Classic	California	1550000	Rodger Davis (1)	197 (-16)	232500
Apr 20	Emerald Coast Classic	Florida	1450000	Bob Gilder (7)	193 (-17)	217500
Apr 27	Liberty Mutual Legends of Golf	Georgia	3000000	Bruce Lietzke (6)	206 (-10)	354000
May 4	Bruno's Memorial Classic	Alabama	1400000	Tom Jenkins (4)	200 (-16)	210000
May 11	Kinko's Classic of Austin	Texas	1600000	Hale Irwin (37)	208 (-8)	240000
May 18	Bayer Advantage Celebrity Pro-Am	Missouri	1600000	Jay Sigel (8)	205 (-11)	240000
May 25	Columbus Southern Open	Georgia	1500000	Morris Hatalsky (2)	198 (-12)	225000
Jun 1	Music City Championship at Gaylord Opryland	Tennessee	1400000	Jim Ahern (2)	196 (-20)	210000
Jun 8	Senior PGA Championship	Pennsylvania	2000000	John Jacobs (5)	276 (-4)	360000
Jun 22	Farmers Charity Classic	Michigan	1500000	Doug Tewell (7)	201 (-15)	225000
Jun 29	U.S. Senior Open	Ohio	2600000	Bruce Lietzke (7)	207 (-7)	460000
Jul 13	Ford Senior Players Championship	Michigan	2500000	Craig Stadler (1)	271 (-17)	375000
Jul 27	Senior British Open	Canada	1600000	Tom Watson (5)	263 (-17)	255730
Aug 3	FleetBoston Classic	Massachusetts	1500000	Allen Doyle (8)	198 (-15)	225000
Aug 10	3M Championship	Minnesota	1750000	Wayne Levi (1)	205 (-11)	262500
Aug 17	Long Island Classic	New York	1500000	Jim Thorpe (6)	195 (-15)	225000
Aug 24	Allianz Championship	Iowa	1500000	Don Pooley (2)	200 (-10)	225000
Aug 31	JELD-WEN Tradition	Oregon	2200000	Tom Watson (6)	273 (-15)	330000
Sep 7	Kroger Classic	Ohio	1500000	Gil Morgan (22)	200 (-16)	225000
Sep 14	Constellation Energy Classic	Maryland	1500000	Larry Nelson (17)	207 (-10)	225000
Sep 21	SAS Championship	North Carolina	1800000	D. A. Weibring (1)	203 (-13)	270000
Sep 28	Greater Hickory Classic at Rock Barn	North Carolina	1500000	Craig Stadler (2)	201 (-15)	225000
Oct 12	Turtle Bay Championship	Hawaii	1500000	Hale Irwin (38)	208 (-8)	225000
Oct 19	SBC Championship	Texas	1500000	Craig Stadler (3)	198 (-15)	225000
