Game	Date	Opponent	Score	Location	Record
47	Fri. Feb. 1	Kansas City Kings	142-123	Boston Garden	38-9
48	Sat. Feb. 2	@ Washington Bullets	97-91	Capital Centre	39-9
49	Tue. Feb. 5	@ Chicago Bulls	110-106	Chicago Stadium	40-9
50	Wed. Feb. 6	Cleveland Cavaliers	113-108	Boston Garden	41-9
51	Tue. Feb. 12	@ Portland Trail Blazers	103-111	Memorial Coliseum	41-10
52	Thu. Feb. 14	@ Seattle SuperSonics	110-94	Seattle Center Coliseum	42-10
53	Fri. Feb. 15	@ Golden State Warriors	107-100	Oakland Alameda County Coliseum Arena	43-10
54	Sun. Feb. 17	@ Los Angeles Lakers	111-117	The Forum	43-11
55	Mon. Feb. 18	@ Utah Jazz	110-94	Salt Palace	44-11
56	Wed. Feb. 20	@ Denver Nuggets	129-132	McNichols Sports Arena	44-12
57	Fri. Feb. 22	Chicago Bulls	115-105	Hartford Civic Center	45-12
58	Sun. Feb. 24	@ Indiana Pacers	113-110	Market Square Arena	46-12
59	Wed. Feb. 27	San Antonio Spurs	111-102	Boston Garden	47-12
