Week	Date	Opponent	Result	Attendance
1	September 28, 1951	New York Yanks	W 54-14	30,315
2	October 7, 1951	Cleveland Browns	L 38-23	67,186
3	October 14, 1951	at Detroit Lions	W 27-21	50,567
4	October 21, 1951	at Green Bay Packers	W 28-0	21,393
5	October 28, 1951	at San Francisco 49ers	L 44-17	49,538
6	November 4, 1951	San Francisco 49ers	W 23-16	54,346
7	November 11, 1951	Chicago Cardinals	W 45-21	29,995
8	November 18, 1951	New York Yanks	W 48-21	34,717
9	November 25, 1951	at Washington Redskins	L 31-21	26,307
10	December 2, 1951	at Chicago Bears	W 42-17	50,286
11	December 9, 1951	Detroit Lions	L 24-22	52,937
12	December 16, 1951	Green Bay Packers	W 42-14	23,698
