Episode Title	Song(s) Title	Writer	Singer(s)	Album(s)
Candace Loses Her Head	She's Candace	N/A	Blitzwing	None
The Fast and the Phineas	Go, Go, Phineas	Dan Povenmire, Jeff "Swampy" Marsh, Danny Jacob	Isabella and the Fireside Girls	None
Lawn Gnome Beach Party of Terror	Backyard Beach (#2 on Cliptastic Countdown )	Dan Povenmire, Danny Jacob	Jetstorm	Phineas and Ferb (soundtrack)
Lawn Gnome Beach Party of Terror	The Moment Has Arrived (our song)	N/A	Cyclonous	None
Lawn Gnome Beach Party of Terror	Perry the Platypus	Dan Povenmire, Jeff "Swampy" Marsh	Randy Crenshaw, Laura Dickinson, Danny Jacob	Phineas and Ferb (soundtrack)
S'Winter	S'Winter	N/A	Isabella, Laura Dickinson, Danny Jacob	None
Raging Bully	It's Going So Badly	Dan Povenmire, Danny Jacob	Brawn	None
Get That Bigfoot Outta My Face	He's Bigfoot	N/A	Grandpa Clyde	None
Toy to the World	Shimmy Jimmy	N/A	Laura Dickinson and Danny Jacob	None
Toy to the World	Quirky Worky Song	N/A	Laura Dickinson and Danny Jacob	None
Toy to the World	Brick	N/A	Laura Dickinson and Danny Jacob	None
One Good Scare Ought to Do It!	Perry the Platypus (Extended)	Dan Povenmire, Jeff "Swampy" Marsh	Randy Crenshaw, Laura Dickinson, Danny Jacob	None
One Good Scare Ought to Do It!	Candace (Who's That Girl)	N/A	Danny Jacob	None
A Hard Day's Knight	Ballad of the Black Knight	N/A	Huffer	None
Mom's Birthday	I Love You Mom (#7 on Cliptastic Countdown )	Dan Povenmire, Jeff "Swampy" Marsh, Martin Olson	Candace	Phineas and Ferb (soundtrack)
Run Away Runway	Forever Summer	N/A	Danny Jacob	None
Dude, We're Getting the Band Back Together	History of Rock	Dan Povenmire, Martin Olson , Chris Headrick	Phineas	None
Dude, We're Getting the Band Back Together	Music Makes Us Better	Dan Povenmire, Danny Jacob, Chris Headrick	Love Händel	None
The Flying Fishmonger	The Flying Fishmonger	N/A	Phineas, Danny Jacob	None
Phineas and Ferb Get Busted	The Good Life	Dan Povenmire, Danny Jacob	Danny Jacob	None
Phineas and Ferb Get Busted	Little Brothers (#4 on Cliptastic Countdown )	Jon Colton Barry	Stacy (Laura Dickinson)	Phineas and Ferb (soundtrack)
Phineas and Ferb Get Busted	Chains On Me	Dan Povenmire , Jeff "Swampy" Marsh , Martin Olson	Dan Povenmire	Phineas and Ferb (soundtrack)
Phineas and Ferb Get Busted	Funky Noises in the Bathroom	N/A	None	None
Greece Lightning	My Chariot	N/A	Robbie Wyckoff	None
Greece Lightning	Paul Bunyan's Pancake Haus (jingle)	N/A	Danny Jacob	None
Leave the Busting to Us!	Leave the Busting to Us! (song)	N/A	Dan Povenmire	None
Leave the Busting to Us!	Gotta Make Summer Last	Danny Jacob, Janis Liebhart	Danny Jacob	None
Crack That Whip	Ring Of Fun	Dan Povenmire, Martin Olson , Robert Hughes	Danny Jacob	None
The Best Lazy Day Ever	Do Nothing Day	Jon Colton Barry	Jeremy, Candace	Phineas and Ferb (soundtrack)
Boyfriend From 27,000 B.C	Sandwich Town jingle	N/A	Danny Jacob	None
Voyage To The Bottom Of Buford	Fish Out of Water	Jon Colton Barry, Martin Olson	Sheena Easton	None
Put That Putter Away	Quirky Work Song	N/A	Danny Jacob	None
Does This Duckbill Make Me Look Fat?	Slushy The Clown	N/A	Rob Paulsen	None
Does This Duckbill Make Me Look Fat?	Perry The Teenage Girl	N/A	Sheena Easton	None
Traffic Cam Caper	And the Animals Go	Dan Povenmire, Jeff "Swampy" Marsh , Martin Olson	Major Monogram	None
The Monster of Phineas-n-Ferbenstein	He's Eviler	Dan Povenmire, Jeff "Swampy" Marsh, Martin Olson	Jekyll Doofenshmirtz, Olivia Olson	None
Out to Launch	Shooting Star Milkshake Bar	N/A	Danny Jacob	None
Comet Kermillian	Quirky Worky Song	N/A	Danny Jacob	None
