No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code(s)	U.S. viewers (millions)
122	1	" The One After Vegas "	Kevin S. Bright	Adam Chase	September23,1999	225551	27.7
123	2	"The One Where Ross Hugs Rachel"	Gail Mancuso	Shana Goldberg-Meehan	September30,1999	225552	22.9
124	3	"The One with Ross's Denial"	Gary Halvorson	Seth Kurland	October7,1999	225553	21.6
125	4	"The One Where Joey Loses His Insurance"	Gary Halvorson	Andrew Reich & Ted Cohen	October14,1999	225554	21.1
126	5	"The One with Joey's Porsche"	Gary Halvorson	Perry Rein & Gigi McCreery	October21,1999	225555	22.4
127	6	"The One on the Last Night"	David Schwimmer	Scott Silveri	November4,1999	225556	23.6
128	7	"The One Where Phoebe Runs"	Gary Halvorson	Sherry Bilsing-Graham & Ellen Plummer	November11,1999	225557	22.7
130	9	"The One Where Ross Got High"	Kevin S. Bright	Gregory S. Malins	November25,1999	225559	19.2
132	11	" The One with the Apothecary Table "	Kevin S. Bright	Story: Zachary Rosenblatt Teleplay: Brian Boyle	January6,2000	225560	22.3
135	14	"The One Where Chandler Can't Cry"	Kevin S. Bright	Andrew Reich & Ted Cohen	February10,2000	225564	23.8
138	17	"The One with Unagi" "The One with the Mix Tape"	Gary Halvorson	Story: Zachary Rosenblatt Teleplay: Adam Chase	February24,2000	225568	22.1
139	18	"The One Where Ross Dates a Student"	Gary Halvorson	Seth Kurland	March9,2000	225567	20.5
141	20	"The One with Mac and C.H.E.E.S.E."	Kevin S. Bright	Doty Abrams	April13,2000	225575	18.8
142	21	"The One Where Ross Meets Elizabeth's Dad"	Michael Lembeck	Story: David J. Lagana Teleplay: Scott Silveri	April27,2000	225570	20.6
