Nat.	Name	Moving to	Type	Transfer window	Transfer fee	Source
SWE	Allbäck	Örgryte IS	Contract ended	Summer	Free	OIS.se
DNK	Silberbauer	Utrecht	Contract ended	Summer	Free	FC-Utrecht.nl
DNK	Qvist	Lyngby Boldklub	Contract ended	Summer	Free	Lyngby-Boldklub.dk
DNK	Gravgaard	Nantes	Transfer	Summer	DKK 29,000,000	FCNA.fr
DNK	Bertolt	SønderjyskE	Transfer	Summer	DKK 1,000,000	SoenderjyskE.dk
DNK	Hansen	BK Frem	Contract ended	Winter	Free	BKFrem.dk
DNK	Laudrup	Herfølge B	Transfer	Winter	Undisclosed	HB.dk
DNK	Würtz	Vejle B	Loan	Winter	n/a	Vejle-Boldklub.dk
BRA	Júnior	Nordsjælland	Loan	Winter	n/a	FCN.dk
AUS	Coe	Örgryte IS	Loan	Winter	n/a	OIS.se
