Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)
1990	July 15	Tommy Ellis	John Jackson	Buick	300	317.4 (510.805)	3:41:58	85.797
1990	October 14	Rick Mast	A.G. Dillard Motorsports	Buick	250	264.5 (425.671)	2:44:37	94.405
1991	July 14	Kenny Wallace	Rusty Wallace Racing	Pontiac	300	317.4 (510.805)	2:54:38	109.093
1991	October 13	Ricky Craven	Ricky Craven	Chevrolet	250	264.5 (425.671)	2:54:43	90.832
1992	July 12	Jeff Burton	FILMAR Racing	Oldsmobile	300	317.4 (510.805)	3:18:34	95.907
1992	August 23	Joe Nemechek	NEMCO Motorsports	Chevrolet	250	264.5 (425.671)	2:47:14	94.897
1993	August 22	Robert Pressley	Daniel Welch	Chevrolet	250	264.5 (425.671)	2:57:12	89.56
1994	May 7	Derrike Cope	Ron Zock	Ford	250	264.5 (425.671)	2:59:16	88.527
1995	May 13	Chad Little	Mark Rypien Motorsports	Ford	250	264.5 (425.671)	2:31:11	104.972
1996	July 12	Randy LaJoie	BACE Motorsports	Chevrolet	200	211.6 (340.537)	2:10:57	96.953
1997	May 10	Mike McLaughlin	Team 34	Chevrolet	200	211.6 (340.537)	2:45:25	76.752
1998	May 9	Buckshot Jones	Buckshot Racing	Pontiac	200	211.6 (340.537)	2:05:55	100.829
1999	May 8	Elton Sawyer	Akins-Sutton Motorsports	Ford	200	211.6 (340.537)	2:03:42	103.324
2000	May 13	Tim Fedewa	Cicci-Welliver Racing	Chevrolet	200	211.6 (340.537)	2:22:04	89.366
2001	May 12	Jason Keller	ppc Racing	Ford	200	211.6 (340.537)	1:56:47	108.714
2002	May 11	Bobby Hamilton, Jr.	Team Rensi Motorsports	Ford	200	211.6 (340.537)	1:55:02	110.368
2003	July 19	David Green	Brewco Motorsports	Pontiac	200	211.6 (340.537)	1:57:33	108.005
2004	July 24	Matt Kenseth	Reiser Enterprises	Ford	200	211.6 (340.537)	2:15:29	93.709
2005	July 16	Martin Truex Jr.	Dale Earnhardt, Inc.	Chevrolet	201*	212.658 (342.239)	2:18:33	92.093
2006	July 15	Carl Edwards	Roush Racing	Ford	200	211.6 (340.537)	2:00:12	105.624
2007	June 30	Kevin Harvick	Richard Childress Racing	Chevrolet	200	211.6 (340.537)	2:06:07	100.669
2008	June 28	Tony Stewart	Joe Gibbs Racing	Toyota	200	211.6 (340.537)	1:56:27	109.025
2009	June 27	Kyle Busch	Joe Gibbs Racing	Toyota	200	211.6 (340.537)	1:53:26	111.925
2010	June 26	Kyle Busch	Joe Gibbs Racing	Toyota	200	211.6 (340.537)	1:54:43	110.673
2011	July 16	Kyle Busch	Joe Gibbs Racing	Toyota	206*	217.948 (350.753)	2:21:48	92.221
2012	July 14	Brad Keselowski	Penske Racing	Dodge	200	211.6 (340.537)	1:58:46	106.899
