Tournament Appearances	Team	League	Wins	Final Losses	Semi-Final Losses	Fourth-Place*	Final Win %	Years of appearance
8	Gatineau Olympiques	QMJHL	1	3	1	1	.250	2008, 2004, 2003, 1997, 1995, 1988, 1986
6	Kamloops Blazers	WHL	3	0	2	1	1.000	1995, 1994, 1992, 1990, 1986, 1984
6	Kitchener Rangers	OHL	2	4	0	0	.333	2008, 2003, 1990, 1984, 1982, 1981
5	Quebec Remparts	QMJHL	2	2	0	2	.500	2006, 2003, 1976, 1974, 1973, 1971
5	Medicine Hat Tigers	WHL	2	1	1	1	.750	2007, 2004, 1988, 1987, 1973
5	Ottawa 67's	OHL	2	1	1	1	.750	2005, 2001, 1999, 1984, 1977
5	Portland Winterhawks	WHL	2	1	2	0	.667	2013, 1998, 1986, 1983, 1982
4	Kelowna Rockets	WHL	1	1	1	1	.500	2009, 2005, 2004, 2003
4	Brandon Wheat Kings	WHL	0	2	2	0	.000	2010, 1996, 1995, 1979
4	Guelph Storm	OHL	0	1	0	3	.000	2004, 2002, 1998, 1996
3	Windsor Spitfires	OHL	2	1	0	0	.750	2010, 2009, 1988
3	Spokane Chiefs	WHL	2	0	1	0	1.000	2008, 1998, 1991
3	Rimouski Océanic	QMJHL	1	1	0	1	.500	2009, 2005, 2000
3	Kootenay Ice	WHL	1	0	1	1	1.000	2011, 2002, 2000
3	Drummondville Voltigeurs	QMJHL	0	1	1	1	.000	2009, 1991, 1988
3	Chicoutimi Saguenéens	QMJHL	0	0	2	1	.000	1997, 1994, 1991
3	London Knights	OHL	1	1	1	0	.500	2014, 2013, 2012, 2005
2	Shawinigan Cataractes	QMJHL	1	1	0	0	.500	2012, 1985
2	Saint John Sea Dogs	QMJHL	1	0	1	0	1.000	2012, 2011
3	Sault Ste. Marie Greyhounds	OHL	1	1	0	1	.500	1993, 1992, 1991
2	Swift Current Broncos	WHL	1	0	1	0	1.000	1993, 1989
2	Vancouver Giants	WHL	1	0	1	0	1.000	2007, 2006
2	Calgary Hitmen	WHL	0	1	1	0	.000	2010, 1999
2	Moncton Wildcats	QMJHL	0	1	0	1	.000	2010, 2006
2	Val-d'Or Foreurs	QMJHL	0	1	0	1	.000	2001, 1998
2	Saskatoon Blades	WHL	0	1	0	1	.000	2013, 1989
2	Belleville Bulls	OHL	0	0	2	0	.000	2008, 1998
2	Halifax Mooseheads	QMJHL	1	0	1	0	1.000	2013, 2000
1	Prince Albert Raiders	WHL	1	0	0	0	1.000	1985
1	Red Deer Rebels	WHL	1	0	0	0	1.000	2001
1	Barrie Colts	OHL	0	1	0	0	.000	2000
1	Lethbridge Hurricanes	WHL	0	1	0	0	.000	1997
1	Victoriaville Tigres	QMJHL	0	1	0	0	.000	2002
1	Erie Otters	OHL	0	0	1	0	.000	2002
1	Plymouth Whalers	OHL	0	0	1	0	.000	2007
1	Seattle Thunderbirds	WHL	0	0	1	0	.000	1992
