Name	Pos.	Height	Weight	Date of Birth	Club
Francesca Conti	GK	m (ft 10in)	kg (lb)	1972-05-21	Geymonat Orizzonte
Martina Miceli	D	m (ft 6in)	kg (lb)	1973-10-22	Firenze Pallanuoto
Carmela Allucci	D	m (ft 6in)	kg (lb)	1970-01-22	Firenze Pallanuoto
Silvia Bosurgi	D	m (ft 5in)	kg (lb)	1979-04-17	Geymonat Orizzonte
Elena Gigli	GK	m (ft 3in)	kg (lb)	1985-07-09	AS Certaldo
Manuela Zanchi	D	m (ft 0in)	kg (lb)	1977-10-17	Rari Nantes Pescada
Tania di Mario	D	m (ft 6in)	kg (lb)	1979-05-04	Geymonat Orizzonte
Cinzia Ragusa	CB	m (ft 8in)	kg (lb)	1977-05-24	Geymonat Orizzonte
Giusy Malato	CF	m (ft 7in)	kg (lb)	1971-07-09	Geymonat Orizzonte
Alexandra Araujo	CF	m (ft 6in)	kg (lb)	1972-07-13	GIFA Città di Palermo
Maddalena Musumeci	CF	m (ft 7in)	kg (lb)	1976-03-26	Geymonat Orizzonte
Melania Grego	D	m (ft 7in)	kg (lb)	1973-06-19	Volturno SC
Noémi Tóth	CB	m (ft 11in)	kg (lb)	1976-06-07	Volturno SC
Head Coach: Pierluigi Formiconi	Head Coach: Pierluigi Formiconi	Head Coach: Pierluigi Formiconi	Head Coach: Pierluigi Formiconi	Head Coach: Pierluigi Formiconi	Head Coach: Pierluigi Formiconi
