Rider	Manufacturer	Laps	Time/Retired	Grid
Stefano Perugini	Aprilia	29	44:46.542	4
Haruchika Aoki	Honda	29	+0.405	7
Peter Öttl	Aprilia	29	+0.758	10
Masaki Tokudome	Aprilia	29	+0.785	9
Emilio Alzamora	Honda	29	+1.267	3
Valentino Rossi	Aprilia	29	+7.379	13
Tomomi Manako	Honda	29	+7.406	5
Akira Saito	Honda	29	+7.814	11
Noboru Ueda	Honda	29	+18.034	14
Kazuto Sakata	Aprilia	29	+35.742	1
Frédéric Petit	Honda	29	+39.738	28
Garry McCoy	Aprilia	29	+39.812	18
Andrea Ballerini	Aprilia	29	+57.770	19
Jaroslav Huleš	Honda	29	+1:10.237	17
Paolo Tessari	Honda	29	+1:10.772	22
Ivan Goi	Honda	29	+1:12.419	26
Stefano Cruciani	Aprilia	29	+1:34.951	25
Loek Bodelier	Honda	28	+1 Lap	21
Josep Sardá	Honda	28	+1 Lap	27
Yau Chuen Tang	Yamaha	27	+2 Laps	33
Dirk Raudies	Honda	17	Retirement	2
Ángel Nieto, Jr.	Aprilia	16	Retirement	29
Yasir Said	Yamaha	14	Retirement	31
Manfred Geissler	Aprilia	12	Retirement	12
Yoshiaki Katoh	Yamaha	9	Retirement	8
Youichi Ui	Yamaha	8	Retirement	23
Chow Yan Kit	Yamaha	8	Retirement	32
Lucio Cecchinello	Honda	7	Retirement	16
Chao Chee Hou	Yamaha	6	Retirement	30
Gabriele Debbia	Yamaha	6	Retirement	15
Jorge Martínez	Aprilia	3	Retirement	6
Darren Barton	Aprilia	3	Retirement	24
José David de Gea	Honda	0	Retirement	20
