Year	Stage	Start	Finish	Leader at the summit
2012	17	Bagnères-de-Luchon	Peyragudes	Thomas Voeckler ( FRA )
2010	15	Pamiers	Bagnères-de-Luchon	Thomas Voeckler ( FRA )
2008	9	Toulouse	Bagnères-de-Bigorre	Sebastian Lang ( DEU )
2006	12	Bagnères de Luchon	Carcassonne	Michael Rasmussen ( DEN )
2004	13	Lannemezan	Plateau de Beille	Sylvain Chavanel ( FRA )
1999	15	Saint-Gaudens	Piau-Engaly	Mariano Piccoli ( ITA )
1997	10	Bagnères de Luchon	Andorra	Laurent Brochard ( FRA )
1989	11	Bagnères de Luchon	Blagnac	Gert-Jan Theunisse ( NED )
1984	11	Pau	Guzet-Neige	Théo De Rooy ( NED )
1981	6	Saint-Gaudens	Saint-Lary Soulan (Pla d'Adet)	Bernard Becaas ( FRA )
1972	9	Bagnères de Luchon	Colomiers	Christian Raymond ( FRA )
1968	14	la Seu d'Urgell	Canet-Plage	Franco Bitossi ( ITA )
1966	11	Pau	Bagnères de Luchon	Joaquim Galera ( ESP )
1964	15	Toulouse	Bagnères de Luchon	Joaquim Galera ( ESP )
1963	12	Bagnères de Luchon	Toulouse	Rik Van Looy ( BEL )
1962	14	Bagnères de Luchon	Carcassonne	André Darrigade ( FRA )
1961	16	Toulouse	Superbagnères	Imerio Massignan ( ITA )
1960	12	Bagnères de Luchon	Toulouse	André Darrigade ( FRA )
1957	17	Ax-les-Thermes	Saint-Gaudens	Group
1956	13	Bagnères de Luchon	Toulouse	Bruno Monti ( ITA )
1952	17	Toulouse	Bagnères-de-Bigorre	Group
1951	15	Bagnères de Luchon	Carcassonne	José Serra ( ESP )
1948	8	Lourdes	Toulouse	Jean Robic ( FRA )
1947	14	Carcassonne	Bagnères de Luchon	Albert Bourlon ( FRA )
