Race	Circuit	Location / State	Date	Winner	Team
1	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	4–5 March	Paul Morris	Paul Morris Motorsport
2	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	4–5 March	Paul Morris	Paul Morris Motorsport
1	Oran Park Raceway	Sydney , New South Wales	1 - 2 Apr	Greg Murphy	Brad Jones Racing
2	Oran Park Raceway	Sydney , New South Wales	1 - 2 Apr	Geoff Brabham	Paul Morris Motorsport
1	Symmons Plains Raceway	Launceston , Tasmania	6–7 May	Paul Morris	Paul Morris Motorsport
2	Symmons Plains Raceway	Launceston , Tasmania	6–7 May	Geoff Brabham	Paul Morris Motorsport
1	Calder Park Raceway	Melbourne , Victoria	12–13 May	Geoff Brabham	Paul Morris Motorsport
2	Calder Park Raceway	Melbourne , Victoria	12–13 May	Paul Morris	Paul Morris Motorsport
1	Mallala Motor Sport Park	Mallala , South Australia	3 - 4 Jun	Geoff Brabham	Paul Morris Motorsport
2	Mallala Motor Sport Park	Mallala , South Australia	3 - 4 Jun	Geoff Brabham	Paul Morris Motorsport
1	Lakeside International Raceway	Brisbane , Queensland	22 - 23 Jul	Paul Morris	Paul Morris Motorsport
2	Lakeside International Raceway	Brisbane , Queensland	22 - 23 Jul	Paul Morris	Paul Morris Motorsport
1	Winton Motor Raceway	Benalla , Victoria	12 - 13 Aug	Paul Morris	Paul Morris Motorsport
2	Winton Motor Raceway	Benalla , Victoria	12 - 13 Aug	Brad Jones	Brad Jones Racing
1	Eastern Creek Raceway	Sydney , New South Wales	25 - 26 Aug	Brad Jones	Brad Jones Racing
2	Eastern Creek Raceway	Sydney , New South Wales	25 - 26 Aug	Paul Morris	Paul Morris Motorsport
