Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 6	Infiniti Senior Tournament of Champions	California	350,000	Bruce Crampton (18)	279 (-9)	80,000
Feb 3	Royal Caribbean Classic	Florida	450,000	Gary Player (16)	200 (-13)	67,500
Feb 10	GTE Suncoast Classic	Florida	450,000	Bob Charles (16)	210 (-6)	67,500
Feb 17	Aetna Challenge	Florida	450,000	Lee Trevino (8)	205 (-11)	67,500
Mar 3	GTE West Classic	California	450,000	Chi Chi Rodriguez (17)	132 (-8)	67,500
Mar 17	Vantage at The Dominion	Texas	350,000	Lee Trevino (9)	137 (-7)	52,500
Mar 24	Vintage ARCO Invitational	California	500,000	Chi Chi Rodriguez (18)	206 (-10)	75,000
Apr 7	The Tradition at Desert Mountain	Arizona	800,000	Jack Nicklaus (3)	277 (-11)	120,000
Apr 21	PGA Seniors' Championship	Florida	500,000	Jack Nicklaus (4)	271 (-17)	85,000
Apr 28	Doug Sanders Kingwood Celebrity Classic	Texas	300,000	Mike Hill (6)	203 (-13)	45,000
May 5	Las Vegas Senior Classic	Nevada	450,000	Chi Chi Rodriguez (19)	204 (-12)	67,500
May 12	Murata Reunion Pro-Am	Texas	400,000	Chi Chi Rodriguez (20)	208 (-8)	60,000
May 26	Bell Atlantic Classic	Pennsylvania	550,000	Jim Ferree (2)	208 (-8)	82,500
Jun 2	NYNEX Commemorative	New York	400,000	Charles Coody (3)	193 (-17)	60,000
Jun 9	Mazda Presents The Senior Players Championship	Michigan	1,000,000	Jim Albus (1)	279 (-9)	150,000
Jun 16	MONY Syracuse Senior Classic	New York	400,000	Rocky Thompson (1)	199 (-17)	60,000
Jun 23	PaineWebber Invitational	North Carolina	450,000	Orville Moody (10)	207 (-9)	67,500
Jun 30	Southwestern Bell Classic	Missouri	450,000	Jim Colbert (1)	201 (-9)	67,500
Jul 7	Kroger Senior Classic	Ohio	600,000	Al Geiberger (6)	203 (-10)	90,000
Jul 14	Newport Cup	Rhode Island	325,000	Larry Ziegler (1)	199 (-17)	48,750
Jul 21	Ameritech Senior Open	Illinois	500,000	Mike Hill (7)	200 (-16)	75,000
Jul 28	U.S. Senior Open	Michigan	500,000	Jack Nicklaus (5)	282 (2)	110,000
Aug 4	Northville Long Island Classic	New York	450,000	George Archer (6)	204 (-12)	67,500
Aug 11	Showdown Classic	Utah	350,000	Dale Douglass (7)	209 (-7)	52,500
Aug 18	GTE Northwest Classic	Washington	400,000	Mike Hill (8)	198 (-18)	60,000
Aug 25	Sunwest Bank Charley Pride Senior Golf Classic	New Mexico	350,000	Lee Trevino (10)	200 (-16)	52,500
Sep 1	GTE North Classic	Indiana	450,000	George Archer (7)	199 (-17)	67,500
Sep 8	First of America Classic	Michigan	350,000	Harold Henning (3)	202 (-11)	52,500
Sep 15	Digital Seniors Classic	Massachusetts	400,000	Rocky Thompson (2)	205 (-11)	60,000
Sep 22	Nationwide Championship	Georgia	700,000	Mike Hill (9)	212 (-4)	105,000
Sep 29	Bank One Senior Classic	Kentucky	300,000	DeWitt Weaver (1)	207 (-9)	45,000
Oct 6	Vantage Championship	North Carolina	1,500,000	Jim Colbert (2)	205 (-11)	202,500
Oct 13	Raley's Senior Gold Rush	California	450,000	George Archer (8)	206 (-10)	67,500
Oct 20	Transamerica Senior Golf Championship	California	500,000	Charles Coody (4)	204 (-12)	75,000
Oct 27	Security Pacific Senior Classic	California	500,000	John Brodie (1)	200 (-13)	75,000
Dec 8	First Development Kaanapali Classic	Hawaii	600,000	Jim Colbert (3)	195 (-15)	90,000
Dec 15	New York Life Champions	Puerto Rico	1,000,000	Mike Hill (10)	202 (-14)	150,000
