Season	Division	Rank	Avg.Att.	Europe	Top Goalscorer	Goals
1963–64	RL	2 ∆	26 000	—	Rainer Ohlhauser	33
1964	BLQ	2	28 000	—	Dieter Brenninger	6
1964–65	RL	1 ∆	13 000	—	Rainer Ohlhauser	42
1965	BLQ	1 ↑	36 000	—	Rainer Ohlhauser	7
1965–66	BL	3	26 294	—	Gerd Müller	14
1966–67	BL	6	22 353	Cup Winners' Cup	Gerd Müller	28
1967–68	BL	5	21 706	Cup Winners' Cup	Gerd Müller	20
1968–69	BL	1 *	25 029	—	Gerd Müller	30
1969–70	BL	2 ¤	23 324	European Cup	Gerd Müller	38
1970–71	BL	2 ¤	24 088	Inter-Cities Fairs Cup	Gerd Müller	22
1971–72	BL	1 *	27 882	Cup Winners' Cup	Gerd Müller	40
1972–73	BL	1 *	33 353	European Cup	Gerd Müller	36
1973–74	BL	1 *	37 588	European Cup	Gerd Müller	30
1974–75	BL	10	36 412	European Cup	Gerd Müller	23
1975–76	BL	3	32 971	European Cup	Gerd Müller	23
1976–77	BL	7	31 550	European Cup	Gerd Müller	28
1977–78	BL	12	30 876	UEFA Cup	Gerd Müller	24
1978–79	BL	4	34 153	—	Karl-Heinz Rummenigge	14
1979–80	BL	1 *	39 579	UEFA Cup	Karl-Heinz Rummenigge	26
1980–81	BL	1 *	36 412	European Cup	Karl-Heinz Rummenigge	29
1981–82	BL	3	33 372	European Cup	Dieter Hoeneß	21
1982–83	BL	4	31 324	Cup Winners' Cup	Karl-Heinz Rummenigge	20
1983–84	BL	4	30 912	UEFA Cup	Karl-Heinz Rummenigge	26
1984–85	BL	1 *	32 765	Cup Winners' Cup	Lothar Matthäus	16
1985–86	BL	1 *	28 765	European Cup	Dieter Hoeneß	15
1986–87	BL	1 *	37 471	European Cup	Lothar Matthäus	14
1987–88	BL	2 ¤	28 034	European Cup	Lothar Matthäus	17
1988–89	BL	1 *	30 412	UEFA Cup	Roland Wohlfarth	17
1989–90	BL	1 *	36 235	European Cup	Roland Wohlfarth	13
1990–91	BL	2 ¤	35 833	European Cup	Roland Wohlfarth	21
1991–92	BL	10	32 526	UEFA Cup	Roland Wohlfarth	17
1992–93	BL	2 ¤	46 059	—	Bruno Labbadia	11
1993–94	BL	1 *	48 294	UEFA Cup	Mehmet Scholl Adolfo Valencia	11
1994–95	BL	6	54 176	Champions League	Christian Ziege	12
1995–96	BL	2 ¤	59 471	UEFA Cup	Jürgen Klinsmann	16
1996–97	BL	1 *	58 059	UEFA Cup	Jürgen Klinsmann	15
1997–98	BL	2 ¤	54 529	Champions League	Carsten Jancker	13
1998–99	BL	1 *	56 235	Champions League	Giovane Elber Carsten Jancker	13
1999–00	BL	1 *	52 588	Champions League	Giovane Elber	14
2000–01	BL	1 *	52 538	Champions League	Giovane Elber	15
2001–02	BL	3	53 176	Champions League	Giovane Elber	17
2002–03	BL	1 *	52 574	Champions League	Giovane Elber	21
2003–04	BL	2 ¤	55 471	Champions League	Roy Makaay	23
2004–05	BL	1 *	53 294	Champions League	Roy Makaay	22
2005–06	BL	1 *	66 000	Champions League	Roy Makaay	17
2006–07	BL	4	68 465	Champions League	Roy Makaay	16
2007–08	BL	1 *	69 000	UEFA Cup	Luca Toni	24
2008–09	BL	2 ¤	69 000	Champions League	Luca Toni	14
2009–10	BL	1 *	69 000	Champions League	Arjen Robben	16
2010–11	BL	3	69 000	Champions League	Mario Gómez	28
2011–12	BL	2 ¤	69 000	Champions League	Mario Gómez	26
2012–13	BL	1 *	71 000	Champions League	Mario Mandžukić	15
