Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	71	1:30:44.086	3
David Coulthard	McLaren - Mercedes	71	+5.289	14
Michael Schumacher	Ferrari	71	+39.092	4
Eddie Irvine	Ferrari	71	+43.976	8
Ralf Schumacher	Jordan - Mugen-Honda	71	+50.654	9
Jacques Villeneuve	Williams - Mecachrome	71	+53.202	11
Damon Hill	Jordan - Mugen-Honda	71	+1:13.624	15
Johnny Herbert	Sauber - Petronas	70	+1 lap	18
Alexander Wurz	Benetton - Playlife	70	+1 lap	17
Jarno Trulli	Prost - Peugeot	70	+1 lap	16
Shinji Nakano	Minardi - Ford	70	+1 lap	21
Ricardo Rosset	Tyrrell - Ford	69	+2 laps	22
Jos Verstappen	Stewart - Ford	51	Engine	12
Esteban Tuero	Minardi - Ford	30	Spun off	19
Giancarlo Fisichella	Benetton - Playlife	21	Collision	1
Jean Alesi	Sauber - Petronas	21	Collision	2
Heinz-Harald Frentzen	Williams - Mecachrome	16	Engine	7
Rubens Barrichello	Stewart - Ford	8	Brakes	5
Pedro Diniz	Arrows	3	Collision	13
Mika Salo	Arrows	1	Collision	6
Olivier Panis	Prost - Peugeot	0	Clutch	10
Toranosuke Takagi	Tyrrell - Ford	0	Collision	20
