Game	Date	Opponent	Score	Location	Record
57	Fri. Mar. 1	San Antonio Spurs	108-98	Boston Garden	42-15
58	Sun. Mar. 3	Portland Trail Blazers	107-116	Boston Garden	42-16
59	Mon. Mar. 4	Indiana Pacers	126-101	Hartford Civic Center	43-16
60	Wed. Mar. 6	Miami Heat	126-117	Boston Garden	44-16
61	Fri. Mar. 8	@ Los Angeles Clippers	104-98	L.A. Sports Arena	45-16
62	Sun. Mar. 10	@ Portland Trail Blazers	111-109 (OT)	Memorial Coliseum	46-16
63	Tue. Mar. 12	@ Sacramento Kings	110-95	ARCO Arena	47-16
64	Wed. Mar. 13	@ Utah Jazz	109-112	Salt Palace	47-17
65	Fri. Mar. 15	@ Washington Bullets	94-86	Capital Centre	48-17
66	Sun. Mar. 17	Philadelphia 76ers	110-105	Boston Garden	49-17
67	Tue. Mar. 19	@ Atlanta Hawks	92-104	The Omni	49-18
68	Wed. Mar. 20	Washington Bullets	102-81	Boston Garden	50-18
69	Fri. Mar. 22	@ Indiana Pacers	109-121	Market Square Arena	50-19
70	Thu. Mar. 28	@ Miami Heat	88-90	Miami Arena	50-20
71	Fri. Mar. 29	Cleveland Cavaliers	110-108	Boston Garden	51-20
72	Sun. Mar. 31	Chicago Bulls	135-132 (2OT)	Boston Garden	52-20
