Date	Location	Lineup	Assist/pass	Score	Result	Competition
2006-03-11	Quarteira	on 46' ( off Lilly )	unassisted	5-0	5-0	Algarve Cup
2006-03-13	Faro	on 73' ( off O'Reilly )	unassisted	4-1	4-1	Algarve Cup
2006-05-09	Osaka	on 55' ( off O'Reilly )	Lilly	1-0	1-0	Friendly
2006-07-23	San Diego CA	on 46' ( off Welsh )	Wagner	4-0	5-0	Friendly
2006-07-30	Cary NC	on 46' ( off Welsh )	unassisted	2-0	2-0	Friendly
2006-10-31	Cheonan	90. Start	Wambach	2-0	2-0	Peace Queen Cup
2007-01-30	Guangzhou	90. Start	Sobrero	2-0	2-0	Four Nations Tournament
2007-10-17	Portland OR	on 68' ( off Wagner )	Lloyd	3-0	4-0	Friendly
2008-03-10	Alvor	off 63' ( on Rodriguez )	unassisted	1-0	4-0	Algarve Cup
2008-03-12	Santo Antonio	off 81' ( on Rodriguez )	Lloyd	2-1	2-1	Algarve Cup
2008-04-06	Ciudad Juarez	off 56' ( on Rodriguez )	O'Reilly	1-0	3-1	Olympic qualification
2008-04-06	Ciudad Juarez	off 56' ( on Rodriguez )	unassisted	3-1	3-1	Olympic qualification
2008-04-09	Ciudad Juarez	90. Start	Heath	1-0	3-0	Olympic qualification
2008-04-09	Ciudad Juarez	90. Start	Hucles	3-0	3-0	Olympic qualification
2008-04-27	Cary NC	off 45' ( on Rodriguez )	Lloyd	1-0	3-2	Friendly
2008-05-10	Washington DC	off 76' ( on Rodriguez )	Lloyd	2-0	6-0	Friendly
2008-05-10	Washington DC	off 76' ( on Rodriguez )	Boxx	3-0	6-0	Friendly
2008-05-10	Washington DC	off 76' ( on Rodriguez )	Wambach	5-0	6-0	Friendly
2008-06-15	Suwon	off 62' ( on Cheney )	O'Reilly	1-0	2-1	Peace Queen Cup
2008-07-16	San Diego CA	on 56' ( off Tarpley )	Lloyd	1-0	1-0	Friendly
2008-08-15	Shanghai	on 91' ( off O'Reilly )	Boxx	2-1	2-1 aet	Olympics - Quarter-final
2008-09-13	Philadelphia	off 60' ( on White )	O'Reilly	1-0	2-0	Friendly
2008-09-17	E Rutherford NJ	90. Start	Lloyd	1-0	1-0	Friendly
2009-03-06	Ferreiras	on 68' ( off Rodriguez )	Rampone	1-0	1-0	Algarve Cup
Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports
