Rank	Athlete	Nation	Olympics	Gold	Silver	Bronze	Total(min. 2 medals)
1	Paavo Nurmi Category:Articles with hCards	Finland (FIN)	1920–1928	2	0	0	2
1	Emil Zátopek Category:Articles with hCards	Czechoslovakia (TCH)	1948–1952	2	0	0	2
1	Lasse Viren Category:Articles with hCards	Finland (FIN)	1972–1976	2	0	0	2
1	Haile Gebrselassie Category:Articles with hCards	Ethiopia (ETH)	1996–2000	2	0	0	2
1	Kenenisa Bekele Category:Articles with hCards	Ethiopia (ETH)	2004–2008	2	0	0	2
6	Ville Ritola Category:Articles with hCards	Finland (FIN)	1924–1928	1	1	0	2
7	Miruts Yifter Category:Articles with hCards	Ethiopia (ETH)	1972–1980	1	0	1	2
8	Alain Mimoun Category:Articles with hCards	France (FRA)	1948–1952	0	2	0	2
8	Paul Tergat Category:Articles with hCards	Kenya (KEN)	1996–2000	0	2	0	2
8	Sileshi Sihine Category:Articles with hCards	Ethiopia (ETH)	2004–2008	0	2	0	2
11	Edvin Wide Category:Articles with hCards	Sweden (SWE)	1924–1928	0	1	1	2
11	Volmari Iso-Hollo Category:Articles with hCards	Finland (FIN)	1932–1936	0	1	1	2
