Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Camoradi International	Behra-Porsche - Porsche	RSK	Porsche 547/6 1.5 F4	D	Masten Gregory	1
Camoradi International	Behra-Porsche - Porsche	RSK	Porsche 547/6 1.5 F4	D	Fred Gamble	9
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	D	Roberto Bonomi	1
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	D	Carlos Menditeguy	1
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	D	Masten Gregory	2, 4, 6–8
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	D	Ian Burgess	2, 6–7, 10
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	D	Maurice Trintignant	2, 4, 6, 10
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	D	Mário de Araújo Cabral	8
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	D	Alfonso Thiele	9
Scuderia Centro Sud	Cooper - Maserati	T51	Maserati 250S 2.5 L4	D	Wolfgang von Trips	10
Giorgio Scarlatti	Maserati	250F	Maserati 250F1 2.5 L6	D	Giorgio Scarlatti	1
Nasif Estéfano	Maserati	250F	Maserati 250F1 2.5 L6	D	Nasif Estéfano	1
Antonio Creus	Maserati	250F	Maserati 250F1 2.5 L6	D	Antonio Creus	1
Gino Munaron	Maserati	250F	Maserati 250F1 2.5 L6	D	Gino Munaron	1
Cooper Car Company	Cooper - Climax	T51 T53	Climax FPF 2.5 L4	D	Bruce McLaren	1–2, 4–8, 10
Cooper Car Company	Cooper - Climax	T51 T53	Climax FPF 2.5 L4	D	Jack Brabham	1–2, 4–8, 10
Cooper Car Company	Cooper - Climax	T51 T53	Climax FPF 2.5 L4	D	Chuck Daigh	7
Cooper Car Company	Cooper - Climax	T51 T53	Climax FPF 2.5 L4	D	Lance Reventlow	7
Cooper Car Company	Cooper - Climax	T51 T53	Climax FPF 2.5 L4	D	Ron Flockhart	10
Team Lotus	Lotus - Climax	18 16	Climax FPF 2.5 L4	D	Innes Ireland	1–2, 4–8, 10
Team Lotus	Lotus - Climax	18 16	Climax FPF 2.5 L4	D	Alan Stacey	1–2, 4–5
Team Lotus	Lotus - Climax	18 16	Climax FPF 2.5 L4	D	Alberto Rodriguez Larreta	1
Team Lotus	Lotus - Climax	18 16	Climax FPF 2.5 L4	D	John Surtees	2, 7–8, 10
Team Lotus	Lotus - Climax	18 16	Climax FPF 2.5 L4	D	Jim Clark	4–8, 10
Team Lotus	Lotus - Climax	18 16	Climax FPF 2.5 L4	D	Ron Flockhart	6
Scuderia Ferrari	Ferrari	246	Ferrari 155 2.4 V6	D	Cliff Allison	1–2
Scuderia Ferrari	Ferrari	246	Ferrari 155 2.4 V6	D	Phil Hill	1–2, 4–9
Scuderia Ferrari	Ferrari	246	Ferrari 155 2.4 V6	D	Wolfgang von Trips	1–2, 4–9
Scuderia Ferrari	Ferrari	246	Ferrari 155 2.4 V6	D	José Froilán González	1
Scuderia Ferrari	Ferrari	246	Ferrari 155 2.4 V6	D	Richie Ginther	2, 4, 9
Scuderia Ferrari	Ferrari	246	Ferrari 155 2.4 V6	D	Willy Mairesse	5–6, 9
Ecurie Bleue	Cooper - Climax	T51	Climax FPF 2.2 L4	D	Harry Schell	1
R.R.C. Walker Racing Team	Lotus - Climax	18	Climax FPF 2.5 L4	D	Stirling Moss	2, 4–5, 8, 10
R.R.C. Walker Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Stirling Moss	1
R.R.C. Walker Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Maurice Trintignant	1
Owen Racing Organisation	BRM	P25 P48	BRM P25 2.5 L4	D	Jo Bonnier	1–2, 4–8, 10
Owen Racing Organisation	BRM	P25 P48	BRM P25 2.5 L4	D	Graham Hill	1–2, 4–8, 10
Owen Racing Organisation	BRM	P25 P48	BRM P25 2.5 L4	D	Dan Gurney	2, 4–8, 10
Ettore Chimeri	Maserati	250F	Maserati 250F1 2.5 L6	D	Ettore Chimeri	1
Fred Tuck Cars	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Bruce Halford	2
Fred Tuck Cars	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Lucien Bianchi	6–7
High Efficiency Motors	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Roy Salvadori	2, 10
Yeoman Credit Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Chris Bristow	2, 4–5
Yeoman Credit Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Tony Brooks	2, 4–5, 7–8, 10
Yeoman Credit Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Henry Taylor	4, 6–8, 10
Yeoman Credit Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Olivier Gendebien	5–8, 10
Yeoman Credit Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Bruce Halford	6
Yeoman Credit Racing Team	Cooper - Climax	T51	Climax FPF 2.5 L4	D	Phil Hill	10
J.B. Naylor	JBW - Maserati	59	Maserati 250S 2.5 L4	D	Brian Naylor	2, 7, 9–10
Scuderia Eugenio Castellotti	Cooper - Castellotti	T51	Castellotti 2.5 L4	D	Gino Munaron	2, 6–7, 9
Scuderia Eugenio Castellotti	Cooper - Castellotti	T51	Castellotti 2.5 L4	D	Giorgio Scarlatti	2, 9
Scuderia Eugenio Castellotti	Cooper - Castellotti	T51	Castellotti 2.5 L4	D	Giulio Cabianca	9
Reventlow Automobiles Inc.	Scarab	F1	Scarab 2.5 L4	D	Chuck Daigh	2, 4–6, 10
Reventlow Automobiles Inc.	Scarab	F1	Scarab 2.5 L4	D	Lance Reventlow	2, 4–5
