Episode	Air Date	Timeslot	Rating	Share	18–49 (Rating/Share)	Viewers (m)	Rank (#)
" A New Hope "	March 3, 2009	Tuesday 8/7c	8.5	9	0.9/2	2.35	TBA
" Dirty Sexy Mongol "	March 10, 2009	Tuesday 8/7c	1.4	2	0.8/2	2.17	90
" The Sweet Science "	March 17, 2009	Tuesday 8/7c	1.2	2	0.9/3	1.88	TBA
" The Favorite "	March 24, 2009	Tuesday 8/7c	9.5	2	1.0/3	2.47	TBA
" I Want My Baby Back "	March 31, 2009	Tuesday 8/7c	10.0	3	1.0/3	2.37	TBA
" Underbelly "	April 7, 2009	Tuesday 8/7c	0.9	2	0.8/3	2.28	TBA
" The Good Soil "	April 14, 2009	Tuesday 8/7c	0.9	3	0.9/2	2.05	TBA
" The Home Stretch "	April 21, 2009	Tuesday 8/7c	1.0	3	0.9/3	2.45	TBA
" No Reaper Left Behind "	April 28, 2009	Tuesday 8/7c	0.7	2	0.6/2	1.82	TBA
" My Brother's Reaper "	May 5, 2009	Tuesday 8/7c	1.2	2	0.8/2	2.22	TBA
" To Sprong, With Love "	May 12, 2009	Tuesday 8/7c	1.33	2	0.9/3	1.99	TBA
" Business Casualty "	May 19, 2009	Tuesday 8/7c	TBA	TBA	TBA	1.79	TBA
" The Devil & Sam Oliver "	May 26, 2009	Tuesday 8/7c	TBA	TBA	TBA	2.22	TBA
