#	Name	Country	1	2	3	Other placings	Total	First appearance	Last appearance	Federation
1	Shawn Michaels	USA	3	1	2	4	10	1994	2008	WWE
2	Kurt Angle	USA	3	3	0	5	10	1994	2012	WWE, TNA
3	Chris Benoit	Canada	2	1	1	5	9	1999	2008	WWE, WCW , NJPW
4	Stone Cold Steve Austin	USA	2	0	0	1	3	1998	2001	WWE, WCW
5	Kenta Kobashi	Japan	1	2	1	6	10	1994	2005	AJPW , NOAH
6	A.J. Styles	USA	1	0	1	4	6	2003	2012	TNA
7	Mitsuharu Misawa	Japan	1	0	0	9	10	1994	2005	AJPW, NOAH
8	Triple H	USA	1	0	0	9	10	1995	2008	WWE, WCW
9	Edge	Canada	1	0	0	8	9	1999	2007	WWE
10	Bret Hart	Canada	1	0	0	5	6	1994	1999	WWE, WCW
11	Keiji Mutoh	Japan	0	2	0	6	8	1994	2008	NJPW, AJPW, WCW
12	Kenta	Japan	0	1	2	3	6	2003	2012	NOAH
13	Nigel McGuinness	England	0	1	1	1	3	2006	2008	ROH
14	Jushin Liger	Japan	0	1	0	10	11	1994	2005	NJPW
15	Koji Kanemoto	Japan	0	1	0	9	10	1995	2005	NJPW
16	Yuji Nagata	Japan	0	1	0	10	11	1994	2005	NJPW, WCW
17	Bryan Danielson	USA	0	1	0	5	6	2003	2012	ROH, WWE
18	Toshiaki Kawada	Japan	0	0	1	9	10	1994	2005	AJPW
19	Eddie Guerrero	USA	0	0	1	8	9	1994	2005	WWE, WCW, NJPW
20	Dean Malenko	USA	0	0	1	5	6	1995	2000	WWE, WCW
21	Mick Foley	USA	0	0	1	5	6	1994	2004	WWE, WCW, TNA
22	Samoa Joe	USA	0	0	1	5	6	2003	2012	TNA, ROH
23	The Rock	USA	0	0	1	4	5	1999	2002	WWE
